Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9012884559419431,0.9057294953660447,0.8994469582704878,0.10055304172951232,0.9177899027357233,0.08221009726427683,0.9604445746972303,0.9395950987437055,0.9851572982687533,0.9380934774840557,0.8861438300926439,0.20032914665768756,0.03187649639802788,0.9797432392169235,0.02025676078307658,0.9770109120866081,0.02298908791339198,0.9646442276431804,0.964570010942229,0.9658267631788411,0.9646442276431804,0.9419736698537632,0.9474004074111657,0.9395950987437055
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9004577009766348,0.903475044584103,0.8994469582704878,0.10055304172951232,0.9125363843243102,0.08746361567568998,0.9604240912992071,0.9390890258692116,0.9852738163109679,0.937633575056424,0.8831111490542878,0.20100527097188173,0.03208116975226339,0.9787310934679356,0.021268906532064438,0.9769734617083592,0.0230265382916408,0.963808298529969,0.9637525469441932,0.9648627823841399,0.963808298529969,0.9405918603372403,0.9447549230163348,0.9390890258692116
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9001368483677142,0.8959947735757454,0.9039718451483159,0.09602815485168427,0.8930534764513094,0.10694652354869075,0.9580229147566777,0.9388141820339962,0.9859082523943203,0.9374939243477487,0.8735937416685609,0.23973467543634344,0.03523369834876632,0.9736565189196769,0.02634348108032319,0.9779226646046728,0.022077335395327132,0.9605435901140846,0.9606266462503128,0.9619049904374637,0.9605435901140846,0.9358124471606898,0.9354880705279911,0.9388141820339962
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8986991302820733,0.8998837405065079,0.899195575666164,0.10080442433383612,0.9073373478946235,0.09266265210537655,0.958163840867165,0.9379510135547288,0.9855581707594092,0.9364416960593775,0.8791016207363408,0.17320427422640644,0.03196203539562487,0.9767064514432936,0.023293548556706452,0.9769797179437959,0.02302028205620403,0.9621890505790371,0.9622154966583422,0.9637889971325991,0.9621890505790371,0.9382729128943481,0.9421585329192097,0.9379510135547288
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8982637469016612,0.8979158475775375,0.8994469582704878,0.10055304172951234,0.9010501366538518,0.0989498633461482,0.946784729857389,0.9375841272590498,0.9809813280401516,0.9363329885737072,0.8758803954378003,0.2691829501076158,0.03645910798080559,0.9757212962476121,0.02427870375238796,0.9768968499614736,0.023103150038526442,0.9613881332336702,0.961478130934406,0.9626482053933201,0.9613881332336702,0.9370448663328325,0.9389734933076627,0.9375841272590498
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8968423582116927,0.9008221780417925,0.8951734539969836,0.10482654600301661,0.9116871647444404,0.08831283525555972,0.9538306961957772,0.9369588461074527,0.9827728663951574,0.935229753047978,0.8800328165132758,0.18315613561399158,0.032596283115001096,0.9787442382179224,0.02125576178207757,0.9760127506986537,0.023987249301346197,0.9630073811846018,0.9628451550307313,0.9638774383980849,0.9630073811846018,0.9390310575711562,0.9438499577215471,0.9369588461074527
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8968423582116927,0.9008221780417925,0.8951734539969836,0.10482654600301661,0.9116871647444404,0.08831283525555972,0.9537127714131901,0.9369588461074527,0.982769558729311,0.935229753047978,0.8800328165132758,0.18335783348655996,0.032654269396386444,0.9787442382179224,0.02125576178207757,0.9760127506986537,0.023987249301346197,0.9630073811846018,0.9628451550307313,0.9638774383980849,0.9630073811846018,0.9390310575711562,0.9438499577215471,0.9369588461074527
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8962375739718192,0.893203210300311,0.8994469582704878,0.10055304172951232,0.8926871760850089,0.10731282391499111,0.9578283296237883,0.9365517385950821,0.985697311517745,0.9349714099804947,0.8705717800187025,0.24043595791846337,0.03513100916928103,0.9736565189196769,0.02634348108032319,0.9769864051484524,0.023013594851547643,0.9597164602546968,0.9597213340806927,0.9610729170514435,0.9597164602546968,0.9341749717328915,0.9348367906167308,0.9365517385950821
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8960112615132855,0.8990846041679957,0.8949220713926598,0.10507792860734042,0.9082812612224378,0.09171873877756233,0.9519392770000533,0.936313761917477,0.9833139060228843,0.9346726927434834,0.8776930945732081,0.2088895267900376,0.03391429740021708,0.9777054524422945,0.022294547557705453,0.9759708478227428,0.024029152177257155,0.9621804365726631,0.9620958065902341,0.9631635463838447,0.9621804365726631,0.9378936907168539,0.9421260545225904,0.936313761917477
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8960112615132855,0.8990846041679957,0.8949220713926598,0.10507792860734042,0.9082812612224378,0.09171873877756233,0.9515722871673407,0.936313761917477,0.9831378499954351,0.9346726927434834,0.8776930945732081,0.20895157914256696,0.03399625465625274,0.9777054524422945,0.022294547557705453,0.9759708478227428,0.024029152177257155,0.9621804365726631,0.9620958065902341,0.9631635463838447,0.9621804365726631,0.9378936907168539,0.9421260545225904,0.936313761917477
