Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9075701091165194,0.9025398959037403,0.9125541125541126,0.08744588744588742,0.9001887001887002,0.09981129981129981,0.9521681080122638,0.943094817609156,0.9793220963433731,0.9418545385365888,0.8820747942344702,0.26093981780919884,0.032633338099743656,0.9736355226642,0.02636447733580018,0.9798928089215805,0.020107191078419545,0.962189469387476,0.9625593421393013,0.9647993754385699,0.962189469387476,0.9395223521630565,0.9400407545551404,0.943094817609156
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9068972810627388,0.900693571076049,0.9125541125541126,0.08744588744588742,0.8959318459318459,0.10406815406815406,0.9526212885647569,0.9425882319961875,0.9798747351938841,0.9414125176171607,0.8794806799406704,0.2640794149121498,0.03396544542498968,0.9726223514382627,0.02737764856173736,0.9798092395262439,0.0201907604737562,0.961354535764699,0.9617717114816677,0.9639274448845999,0.961354535764699,0.9383327880029474,0.9378705427290448,0.9425882319961875
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9043691681385786,0.9009340828072439,0.9082251082251085,0.09177489177489176,0.9015706515706517,0.09842934842934843,0.9533104108292392,0.9414474549245594,0.9795477572073319,0.9400052533829308,0.8805965062571676,0.32156142416031486,0.03385138581047101,0.9746698016240108,0.025330198375989297,0.9790223209821938,0.020977679017806276,0.962202896682579,0.9623764180938785,0.9644209073823103,0.962202896682579,0.9387740713529534,0.9402964862764227,0.9414474549245594
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9010109926558906,0.9060028561270796,0.8991341991341992,0.10086580086580084,0.9201599987314272,0.07984000126857271,0.9577116442509257,0.9394243745770109,0.9824516307518157,0.9377263940661675,0.8870061022342186,0.2601254088907327,0.03301532767796445,0.9797145500198229,0.020285449980177086,0.9771066954306207,0.022893304569379266,0.9646520353093916,0.964622616365441,0.9663126708663864,0.9646520353093916,0.9420980303197637,0.9486333470810239,0.9394243745770109
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8969560858564943,0.8963654630212329,0.8991341991341993,0.10086580086580084,0.9022810522810525,0.09771894771894771,0.9637685868414817,0.9368909876483882,0.9872893064382426,0.9351392927845875,0.87533609282137,0.1989328060348372,0.033543499757010965,0.9746477761625775,0.02535222383742272,0.9770611983688973,0.022938801631102797,0.9605320529064721,0.9606957100749075,0.962953498812203,0.9605320529064721,0.9359705838968282,0.9396711253249747,0.9368909876483882
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8969560858564943,0.8963654630212329,0.8991341991341993,0.10086580086580084,0.9022810522810525,0.09771894771894771,0.9633750409933903,0.9368909876483882,0.9871971999631574,0.9351392927845875,0.87533609282137,0.1977944548003585,0.033440057638812214,0.9746477761625775,0.02535222383742272,0.9770611983688973,0.022938801631102797,0.9605320529064721,0.9606957100749075,0.962953498812203,0.9605320529064721,0.9359705838968282,0.9396711253249747,0.9368909876483882
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.89657346619216,0.8958029802096492,0.8991341991341992,0.10086580086580084,0.9027398527398528,0.09726014726014726,0.9573954279668038,0.9368804337814515,0.9846274293082803,0.9349177836328485,0.875362250258521,0.2810267306814107,0.03731362664335991,0.9746266684287037,0.025373331571296415,0.9771589646974306,0.022841035302569417,0.9605037335204365,0.9606077189514376,0.9631698794083519,0.9605037335204365,0.935688377954279,0.9399494087186416,0.9368804337814515
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8958407879853242,0.8934887059110662,0.8991341991341993,0.10086580086580084,0.8961963961963965,0.1038036038036038,0.9587542253129235,0.9363844020354196,0.9853477786988426,0.9345091364697792,0.8718553577743288,0.23196924661065496,0.03474222263384948,0.9736346049366402,0.026365395063359907,0.9770848435258279,0.02291515647417213,0.959682715458039,0.959771506910777,0.9618890698901451,0.959682715458039,0.9342872917804703,0.9366406198611118,0.9363844020354196
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8958407879853242,0.8934887059110662,0.8991341991341993,0.10086580086580084,0.8961963961963965,0.1038036038036038,0.958452331323686,0.9363844020354196,0.985163565748672,0.9345091364697792,0.8718553577743288,0.23307927939128567,0.03465232542774636,0.9736346049366402,0.026365395063359907,0.9770848435258279,0.02291515647417213,0.959682715458039,0.959771506910777,0.9618890698901451,0.959682715458039,0.9342872917804703,0.9366406198611118,0.9363844020354196
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8956583722827337,0.899333176721212,0.8948051948051949,0.10519480519480517,0.9120551406265692,0.0879448593734308,0.9587320358162846,0.9362467011865716,0.9832550428295109,0.9343159420554951,0.8791539721077242,0.17971277460061028,0.03212528624661485,0.9776882075679486,0.02231179243205145,0.9761306693213092,0.023869330678690875,0.9621745772965433,0.9621454124541967,0.9640592692111765,0.9621745772965433,0.9380001440237984,0.944092904973939,0.9362467011865716
