Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9158505493411327,0.9234581890449822,0.9121212121212122,0.08787878787878786,0.9419696705410991,0.05803032945890089,0.9695776143884556,0.9489684074790458,0.9912909490037148,0.9471347581122619,0.9090501121850472,0.13167665819737762,0.025840098640147743,0.9858156028368794,0.014184397163120577,0.9803148240045765,0.01968517599542351,0.9720411978709679,0.9717499972555717,0.9731365261520518,0.9720411978709679,0.9531625674025241,0.9611422472728377,0.9489684074790458
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9158505493411327,0.9234581890449822,0.9121212121212122,0.08787878787878786,0.9419696705410991,0.05803032945890089,0.9693814108805638,0.9489684074790458,0.9909133124558656,0.9471347581122619,0.9090501121850472,0.1310236734981125,0.02627405180844577,0.9858156028368794,0.014184397163120577,0.9803148240045765,0.01968517599542351,0.9720411978709679,0.9717499972555717,0.9731365261520518,0.9720411978709679,0.9531625674025241,0.9611422472728377,0.9489684074790458
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9146373510864766,0.921168711665606,0.9116883116883117,0.08831168831168829,0.9379292665006952,0.062070733499304954,0.9724950454623231,0.948245371649627,0.991521215191428,0.9463081109860253,0.9063010554782517,0.16907301388554383,0.027202773190961843,0.9848024316109423,0.015197568389057756,0.9803181150879804,0.019681884912019526,0.9712057759829146,0.9709299288615021,0.9723515593791628,0.9712057759829146,0.9517619164754811,0.9591236907943375,0.948245371649627
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9137025498157614,0.9191709086380548,0.9116883116883117,0.08831168831168829,0.9351968137682424,0.06480318623175767,0.9677979628446425,0.9477387860366584,0.9892964600411409,0.945741639434327,0.9042619225095118,0.2134652353620904,0.028554305806483122,0.9837892603850051,0.016210739614994935,0.9803561217447642,0.019643878255235846,0.970384757920517,0.9701298734417391,0.9718792025748029,0.970384757920517,0.9505010995013908,0.9577764677565032,0.9477387860366584
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9135572757800672,0.9176189155365357,0.9121212121212122,0.08787878787878786,0.9294895580609867,0.07051044193901337,0.9696581465107057,0.9474486506401399,0.9907974118080501,0.9456059915389362,0.9014003292284256,0.1290158923932571,0.02574317567701933,0.982776089159068,0.017223910840932128,0.9802317313281274,0.019768268671872674,0.9695781436837759,0.9693799081671584,0.9707022745473217,0.9695781436837759,0.9494638544936727,0.9548606446945568,0.9474486506401399
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9130246370353389,0.9175248193260617,0.9116883116883117,0.08831168831168829,0.9316934388362961,0.06830656116370402,0.9717536066504243,0.9472322004236898,0.9913128242915479,0.945272605670278,0.9020373574744831,0.16262349473822543,0.026960529383290736,0.982776089159068,0.01722391084093212,0.9803181150879804,0.019681884912019526,0.9695637398581198,0.969381642050501,0.9711689024083285,0.9695637398581198,0.9494110573343997,0.9560057769621382,0.9472322004236898
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9128820461757088,0.917273048044542,0.9116883116883117,0.08831168831168829,0.9318390604104889,0.06816093958951103,0.9672415268403957,0.9472322004236898,0.9890807773786499,0.9452267634465024,0.9020188214674831,0.19697163277887525,0.028379477998029704,0.982776089159068,0.017223910840932118,0.9803561217447642,0.019643878255235846,0.9695637398581196,0.9693459911893169,0.9712423872828152,0.9695637398581196,0.9492905872459978,0.9560975910776266,0.9472322004236898
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9126064049438838,0.9155216811084743,0.9121212121212122,0.08787878787878786,0.9265554551268836,0.07344454487311632,0.9700921180791311,0.9469526188941083,0.9908085413404562,0.9450764407134209,0.8992404533160988,0.12831237430754766,0.025846344006932226,0.9817840256670045,0.018215974332995617,0.9802477687108794,0.0197522312891208,0.9687566373561021,0.968593288035971,0.9702277291689343,0.9687566373561021,0.9481588874668051,0.9534016119188815,0.9469526188941083
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.911948443516336,0.914320004937854,0.9121212121212122,0.08787878787878786,0.9253672253672256,0.07463277463277465,0.9636131972446352,0.9464460332811397,0.9879996776273372,0.9446338115173726,0.8979842277787801,0.22046643120973575,0.02836164053133792,0.9807708544410674,0.0192291455589328,0.980250526887994,0.01974947311200593,0.9679500231193607,0.9678927387234295,0.9699495341933615,0.9679500231193607,0.9472797320478069,0.9528088761276097,0.9464460332811397
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9119049602690724,0.9146147895183528,0.9121212121212122,0.08787878787878786,0.9272510558224847,0.07274894417751562,0.9650057469988983,0.9464460332811397,0.9883109207577292,0.9445738697580988,0.8987651871261809,0.2102045460668147,0.027543860274190857,0.9807708544410674,0.0192291455589328,0.9802910192754252,0.01970898072457477,0.9679500231193607,0.9679300356681986,0.9703396251798634,0.9679500231193607,0.9474156412786001,0.9537710375489548,0.9464460332811397
