Data Over-Sampler Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
SMOTE,0.879,0.891,0.869,0.896,0.943,0.926,0.98
Borderline SMOTE,0.879,0.889,0.871,0.89,0.946,0.927,0.98
Baseline,0.878,0.889,0.87,0.894,0.944,0.926,0.98
Adaptive Synthetic (ADASYN),0.878,0.886,0.87,0.89,0.945,0.926,0.98
SMOTEN,0.873,0.885,0.866,0.889,0.944,0.923,0.979
KMeans SMOTE,0.871,0.888,0.858,0.89,0.94,0.922,0.978
SVM-SMOTE,0.865,0.878,0.857,0.885,0.939,0.918,0.979
