Data Over-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
SMOTEN,0.9015225329411658,0.8980571557664069,0.9038901601830663,0.09610983981693366,0.8925039042165539,0.10749609578344616,0.9480584661766545,0.939293258229185,0.9804780941087096,0.9386052547533354,0.8743429727454912,0.12258047444171445,0.032256714738760184,0.9746963562753036,0.0253036437246964,0.9776747062461348,0.022325293753865216,0.9613810928182526,0.9614773577053812,0.9616403150177713,0.9613810928182526,0.9371170634192215,0.9350893052313443,0.939293258229185
SVM-SMOTE,0.896460514834206,0.8917748917748918,0.8996186117467582,0.10038138825324183,0.8840996168582376,0.11590038314176249,0.9447070630250385,0.936145338262043,0.9795632255255284,0.9354125958878958,0.8664871758660688,0.14158602122962166,0.03351491788430011,0.9726720647773279,0.027327935222672073,0.9766321164324989,0.023367883567501024,0.9589180386310605,0.9590488079664568,0.9592193537183697,0.9589180386310605,0.9332109766605933,0.9303658666453682,0.936145338262043
SMOTE,0.8944627192982456,0.8933128275233538,0.8952326468344776,0.10476735316552249,0.8914095583787054,0.10859044162129461,0.9472039458209427,0.9349645015548906,0.9804323892816005,0.9341155190707993,0.8685078347401245,0.13243796434789676,0.03269458184194666,0.9746963562753036,0.0253036437246964,0.9756818125826345,0.02431818741736541,0.959740407052113,0.9597771588968514,0.9598178458754425,0.959740407052113,0.9342507063671677,0.9335456854806701,0.9349645015548906
KMeans SMOTE,0.8936954604883092,0.8914095583787054,0.8952326468344776,0.10476735316552249,0.8876518218623481,0.1123481781376518,0.9476322146681659,0.9344584286803966,0.9805216372210229,0.933631755174822,0.866102600949074,0.1207068123735367,0.031284716012723604,0.9736842105263157,0.026315789473684237,0.9756550146473124,0.02434498535268753,0.9589193889897156,0.9589951624620059,0.9590865193082337,0.9589193889897156,0.9330385860891892,0.9316534182548304,0.9344584286803966
Borderline SMOTE,0.8936563873973036,0.891399292885368,0.8951945080091533,0.10480549199084666,0.8877681115944203,0.11223188840557974,0.9484256281664958,0.9344393592677346,0.9811650561891438,0.9336123429700043,0.8661296070262245,0.12744117793580606,0.0315682689100926,0.9736842105263157,0.026315789473684237,0.9756588286119854,0.024341171388014615,0.9589180386310605,0.958994890770978,0.9591108245369582,0.9589180386310605,0.9330329010761393,0.9317134701032028,0.9344393592677346
Baseline,0.8936563873973036,0.891399292885368,0.8951945080091533,0.10480549199084666,0.8877681115944203,0.11223188840557974,0.9476203660682743,0.9344393592677346,0.9808580154840543,0.9336123429700043,0.8661296070262245,0.1232994922960067,0.03251306107550284,0.9736842105263157,0.026315789473684237,0.9756588286119854,0.024341171388014615,0.9589180386310605,0.958994890770978,0.9591108245369582,0.9589180386310605,0.9330329010761393,0.9317134701032028,0.9344393592677346
Adaptive Synthetic (ADASYN),0.8900957318168943,0.8889943794622512,0.8908466819221967,0.10915331807780321,0.8872248695257545,0.11277513047424553,0.9472475520347832,0.9322654462242563,0.9805655663538357,0.931344908577031,0.8631998165071114,0.14640561167138133,0.03310309318723167,0.9736842105263157,0.026315789473684237,0.9746674057649667,0.025332594235033257,0.958097020568663,0.958140694628145,0.9582040335282165,0.958097020568663,0.9315838447620233,0.9309461376453606,0.9322654462242563
