Data Over-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Borderline SMOTE,0.8887326051925145,0.8921985652885484,0.8866484392800182,0.11335156071998176,0.8989351387025238,0.10106486129747616,0.9497247515046686,0.9316849103135555,0.9813098364860537,0.9304286134000979,0.8678886322945983,0.1324405071775944,0.03147972092619678,0.976721381347093,0.023278618652907073,0.973817142465204,0.026182857534796027,0.9597274041718488,0.9595976024956645,0.9597470389589131,0.9597274041718488,0.9337171881353837,0.9363761405838639,0.9316849103135555
SVM-SMOTE,0.883563602304901,0.8857722998140455,0.8823194349510141,0.1176805650489861,0.8904196178220068,0.10958038217799315,0.9433769883938492,0.928505692454784,0.9800668891657676,0.927124755931051,0.8599353264337423,0.15705121779849887,0.03476431855181848,0.974691949958554,0.02530805004144591,0.9727853829429819,0.027214617057018147,0.9572542239208905,0.9571374158427582,0.957302335374384,0.9572542239208905,0.9297384357564519,0.9316025003824944,0.928505692454784
Baseline,0.8830577024294302,0.8911729540300969,0.8779334700387332,0.12206652996126677,0.9059400059400059,0.09405999405999406,0.948656194027602,0.9283375359785907,0.9811782152734909,0.9267708393611213,0.8670444937894223,0.11888381240209023,0.03178179375643331,0.9787416019184482,0.021258398081551944,0.9719210926659919,0.028078907334007974,0.9597274041718485,0.9594438919106759,0.9595183870602106,0.9597274041718485,0.9332311106575905,0.938930549302999,0.9283375359785907
SMOTE,0.8830577024294302,0.8911729540300969,0.8779334700387332,0.12206652996126677,0.9059400059400059,0.09405999405999406,0.9483411290570264,0.9283375359785907,0.9807275726615536,0.9267708393611213,0.8670444937894223,0.14534192445317118,0.03322157276786894,0.9787416019184482,0.021258398081551944,0.9719210926659919,0.028078907334007974,0.9597274041718485,0.9594438919106759,0.9595183870602106,0.9597274041718485,0.9332311106575905,0.938930549302999,0.9283375359785907
KMeans SMOTE,0.882271678616326,0.8892458488771853,0.8779334700387332,0.12206652996126677,0.9022074515745402,0.09779254842545981,0.9484984615248807,0.927830950365622,0.9807133140523959,0.9262810230406084,0.8646435730893014,0.12516242794518842,0.031651878050025166,0.9777284306925109,0.02227156930748912,0.9718992043962285,0.028100795603771506,0.958904358904359,0.9586587717224692,0.9588001762638463,0.958904358904359,0.9320068989859941,0.9370533279853843,0.927830950365622
Adaptive Synthetic (ADASYN),0.8814805872359647,0.8872443772068395,0.8779334700387332,0.12206652996126677,0.898123367490456,0.10187663250954393,0.9490298455821019,0.927327425692913,0.9811125251030992,0.9257999896859089,0.8620978463455686,0.15675800927219322,0.0335864197488274,0.976721381347093,0.023278618652907073,0.9718750838901803,0.02812491610981971,0.958085358085358,0.9578675287568723,0.9580179298808184,0.958085358085358,0.9307494803108641,0.9349992256903182,0.927327425692913
SMOTEN,0.879963781275189,0.8833141774318246,0.8779334700387332,0.12206652996126677,0.8897690728676645,0.11023092713233558,0.9486215466959494,0.9263157709389033,0.9814675326436374,0.924857590284098,0.8569444541756206,0.1254974468658574,0.03236017397614182,0.9746980718390734,0.025301928160926617,0.9718002970983249,0.028199702901675134,0.9564392675503788,0.9562846676862874,0.9563830880477825,0.9564392675503788,0.9282665229969035,0.9307846849829947,0.9263157709389033
