K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.8929859304906522,0.8177634278411194,0.9517874396135264,0.04821256038647344,0.7178800366300366,0.28211996336996337,0.9325872618768853,0.9318620323740605,0.9786132964555684,0.9316004878266859,0.7805735119453943,0.2776388732753704,0.07192075071299517,0.9119366251345948,0.08806337486540532,0.987821728138304,0.01217827186169589,0.9194427578762733,0.9237517939856275,0.9370765996735397,0.9194427578762733,0.8830203765860102,0.8528508823841705,0.9318620323740605
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.8929859304906522,0.8177634278411194,0.9517874396135264,0.04821256038647344,0.7178800366300366,0.28211996336996337,0.9325872618768853,0.9318620323740605,0.9786132964555684,0.9316004878266859,0.7805735119453943,0.2776388732753704,0.07192075071299517,0.9119366251345948,0.08806337486540532,0.987821728138304,0.01217827186169589,0.9194427578762733,0.9237517939856275,0.9370765996735397,0.9194427578762733,0.8830203765860102,0.8528508823841705,0.9318620323740605
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.8908731124162411,0.8180411130412896,0.9474396135265701,0.052560386473429935,0.7205652963956962,0.2794347036043038,0.9330218256036718,0.9307059114651258,0.9764714433875031,0.930521871017757,0.780495873969829,0.26551050364740986,0.0733846036254713,0.9139722094036816,0.08602779059631852,0.9868335492434325,0.013166450756567505,0.9202725494164474,0.9243424442548797,0.9367795405182981,0.9202725494164474,0.8834921283418293,0.8536994228195643,0.9307059114651258
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.8878779133507887,0.8119159541324518,0.9473429951690822,0.05265700483091788,0.7112922427035331,0.28870775729646697,0.9191931720049282,0.9286271454335899,0.9761617821214672,0.9282628499972534,0.7734469208454364,0.34529078712296035,0.07172874155216921,0.9099112956980978,0.09008870430190227,0.9867861960607769,0.013213803939223046,0.9169736220738042,0.9213875529283344,0.9349920750479626,0.9169736220738042,0.8793169954622619,0.8490392193821549,0.9286271454335899
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.8878779133507887,0.8119159541324518,0.9473429951690822,0.05265700483091788,0.7112922427035331,0.28870775729646697,0.9191931720049282,0.9286271454335899,0.9761617821214672,0.9282628499972534,0.7734469208454364,0.34529078712296035,0.07172874155216921,0.9099112956980978,0.09008870430190227,0.9867861960607769,0.013213803939223046,0.9169736220738042,0.9213875529283344,0.9349920750479626,0.9169736220738042,0.8793169954622619,0.8490392193821549,0.9286271454335899
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.8847962907458298,0.8151053899958856,0.9386473429951689,0.061352657004830925,0.7212390073839042,0.27876099261609577,0.9348678937388424,0.9268071355800334,0.9770179021139075,0.926644467271104,0.7761394728856172,0.2693048271146952,0.07461518532246283,0.9149669281648978,0.0850330718351023,0.984713862226578,0.015286137773422026,0.9194461310126154,0.923423862916987,0.9351673436318562,0.9194461310126154,0.881800423244192,0.8529764348052412,0.9268071355800334
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.8847962907458298,0.8151053899958856,0.9386473429951689,0.061352657004830925,0.7212390073839042,0.27876099261609577,0.9348678937388424,0.9268071355800334,0.9770179021139075,0.926644467271104,0.7761394728856172,0.2693048271146952,0.07461518532246283,0.9149669281648978,0.0850330718351023,0.984713862226578,0.015286137773422026,0.9194461310126154,0.923423862916987,0.9351673436318562,0.9194461310126154,0.881800423244192,0.8529764348052412,0.9268071355800334
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.8846212581031174,0.8105266324248429,0.9430917874396135,0.05690821256038647,0.7130068972635593,0.28699310273644074,0.9152571646292362,0.9265117964014454,0.9754668710697549,0.9259903715457709,0.7717178566838416,0.3694829195126163,0.07088805933833289,0.9099318053632773,0.09006819463672258,0.9857524944006404,0.014247505599359745,0.9161505768063145,0.9206432567437345,0.9345075755233383,0.9161505768063145,0.8783227915688638,0.8493796958320997,0.9265117964014454
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.8796701701813945,0.7997069597069597,0.9429951690821256,0.05700483091787441,0.6952796653785427,0.3047203346214573,0.9300983946556449,0.9229101877303159,0.9771055289152839,0.9226088405066116,0.758697060314059,0.27695776497901625,0.07216019687606764,0.9028252063785059,0.09717479362149414,0.9855362082785943,0.014463791721405706,0.9103993793429129,0.9154854255861642,0.9309723743551415,0.9103993793429129,0.8709898934969683,0.8404079368285686,0.9229101877303159
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.8780530130156278,0.8007865007865007,0.938647342995169,0.061352657004830925,0.6987425489885851,0.30125745101141493,0.8827757573118247,0.922261681034579,0.9705113346862777,0.9218879116308353,0.7596080063378096,0.6336111386466865,0.07157473032676373,0.9058760190739885,0.09412398092601137,0.9846193334214837,0.015380666578516222,0.912055589286919,0.9167258113289842,0.930863210887009,0.912055589286919,0.8721755175705617,0.8416809412050344,0.922261681034579
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.8780530130156278,0.8007865007865007,0.938647342995169,0.061352657004830925,0.6987425489885851,0.30125745101141493,0.8827757573118247,0.922261681034579,0.9705113346862777,0.9218879116308353,0.7596080063378096,0.6336111386466865,0.07157473032676373,0.9058760190739885,0.09412398092601137,0.9846193334214837,0.015380666578516222,0.912055589286919,0.9167258113289842,0.930863210887009,0.912055589286919,0.8721755175705617,0.8416809412050344,0.922261681034579
