K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.9011864915215309,0.8257145975456246,0.9605329311211664,0.03946706887883359,0.7261189344598956,0.2738810655401045,0.925056534167588,0.9372210022519619,0.9795841376259331,0.9365861881240514,0.7911387673244692,0.36146192117462583,0.06810410819974559,0.9139090733827575,0.08609092661724242,0.9901574674882964,0.009842532511703707,0.9227676524609658,0.9268333189691593,0.9403423101368116,0.9227676524609658,0.8880173109141225,0.8581382009740959,0.9372210022519619
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.9011864915215309,0.8257145975456246,0.9605329311211664,0.03946706887883359,0.7261189344598956,0.2738810655401045,0.925056534167588,0.9372210022519619,0.9795841376259331,0.9365861881240514,0.7911387673244692,0.36146192117462583,0.06810410819974559,0.9139090733827575,0.08609092661724242,0.9901574674882964,0.009842532511703707,0.9227676524609658,0.9268333189691593,0.9403423101368116,0.9227676524609658,0.8880173109141225,0.8581382009740959,0.9372210022519619
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.8968374588932838,0.8268951062450467,0.9519859225741579,0.04801407742584214,0.7347023489331183,0.26529765106688186,0.936418216687488,0.9344721137135997,0.9791775805320697,0.9338077016210551,0.7919423467092241,0.27005776411403565,0.06959312071094319,0.9169583048530418,0.08304169514695833,0.9880504932511622,0.011949506748837845,0.9235769985652584,0.927508448557764,0.9403049664681016,0.9235769985652584,0.8888805699006279,0.8613764210921401,0.9344721137135997
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.8968374588932838,0.8268951062450467,0.9519859225741579,0.04801407742584214,0.7347023489331183,0.26529765106688186,0.936418216687488,0.9344721137135997,0.9791775805320697,0.9338077016210551,0.7919423467092241,0.27005776411403565,0.06959312071094319,0.9169583048530418,0.08304169514695833,0.9880504932511622,0.011949506748837845,0.9235769985652584,0.927508448557764,0.9403049664681016,0.9235769985652584,0.8888805699006279,0.8613764210921401,0.9344721137135997
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.8919363107899081,0.8259366988303678,0.9431875314228256,0.05681246857717447,0.7373585166227308,0.26264148337726934,0.9384432823828389,0.9315914872880817,0.9785753250304333,0.9310900389886061,0.7898146147895034,0.28772578055981896,0.07184268572469374,0.9199954431533379,0.08000455684666213,0.9860387158172905,0.013961284182709425,0.9244219121797419,0.9279600240696018,0.939115683264363,0.9244219121797419,0.8888008035155716,0.8616986162200108,0.9315914872880817
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.8919363107899081,0.8259366988303678,0.9431875314228256,0.05681246857717447,0.7373585166227308,0.26264148337726934,0.9384432823828389,0.9315914872880817,0.9785753250304333,0.9310900389886061,0.7898146147895034,0.28772578055981896,0.07184268572469374,0.9199954431533379,0.08000455684666213,0.9860387158172905,0.013961284182709425,0.9244219121797419,0.9279600240696018,0.939115683264363,0.9244219121797419,0.8888008035155716,0.8616986162200108,0.9315914872880817
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.8912264583620124,0.8148107671608055,0.9517345399698341,0.04826546003016593,0.7149278072354996,0.2850721927645004,0.9201483134017336,0.9308174075666336,0.9784487786035773,0.930076522429442,0.7778978926863069,0.38685079165646996,0.06781737629886825,0.9099002751634327,0.09009972483656697,0.9880477657609515,0.011952234239048351,0.9178662828339523,0.9221892301046732,0.9364851189446443,0.9178662828339523,0.880979681003766,0.8514877864982255,0.9308174075666336
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.8905553610567366,0.8182779089152277,0.9477124183006537,0.052287581699346414,0.7234510014944799,0.2765489985055203,0.8908380101062375,0.9303444577438384,0.9735569232395859,0.9297490500762542,0.7814365617927718,0.6219095901039657,0.06777789596262154,0.9129764971870237,0.08702350281297651,0.9869498526020266,0.013050147397973465,0.9195289713116538,0.9237601554375809,0.9373049454682784,0.9195289713116538,0.8832608838788278,0.8552004270482532,0.9303444577438384
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.8884563901331534,0.8143002472978537,0.9477124183006537,0.052287581699346414,0.7182267599572106,0.2817732400427895,0.8802601298162026,0.928805996205377,0.9732954223279301,0.9281031134862379,0.7770294107017222,0.6811045994671026,0.06950072750697928,0.9098995741101006,0.09010042588989958,0.986944973912595,0.01305502608740512,0.91704758173349,0.9215767328741643,0.9362886469551441,0.91704758173349,0.8803957914426357,0.8525858669349027,0.928805996205377
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.8884563901331534,0.8143002472978537,0.9477124183006537,0.052287581699346414,0.7182267599572106,0.2817732400427895,0.8802601298162026,0.928805996205377,0.9732954223279301,0.9281031134862379,0.7770294107017222,0.6811045994671026,0.06950072750697928,0.9098995741101006,0.09010042588989958,0.986944973912595,0.01305502608740512,0.91704758173349,0.9215767328741643,0.9362886469551441,0.91704758173349,0.8803957914426357,0.8525858669349027,0.928805996205377
