Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Neural Network,0.9055118110236221,0.9078867102396514,0.9040214171793118,0.0959785828206881,0.9122338848366246,0.08776611516337547,0.9643599674219997,0.9418896396301809,0.9884717156633703,0.9410586177146542,0.8868280300027466,0.12281385637744054,0.029368014110102304,0.9797578620810498,0.020242137918950315,0.9777832690703687,0.022216730929631317,0.96547658769881,0.9654155726891666,0.965467876680783,0.96547658769881,0.9433218944838582,0.9450085769534965,0.9418896396301809
Logistic Regression,0.9030894549309574,0.902041657075214,0.9040214171793118,0.0959785828206881,0.9012464387464387,0.09875356125356127,0.955620208517521,0.9403806100803861,0.9880398750037879,0.939576314793094,0.879701826633191,0.12472839254386825,0.02979038892106727,0.9767398029814603,0.023260197018539652,0.9777392070970053,0.022260792902994726,0.9630195852418074,0.9630662949605023,0.963391408385179,0.9630195852418074,0.9396236966896027,0.939492822921722,0.9403806100803861
SVM (RBF Kernel),0.9018940296403604,0.9053578356889614,0.8996924128503077,0.10030758714969241,0.9115770987003864,0.08842290129961365,0.9650627453716597,0.939726653937606,0.9898567528199825,0.9387651752314587,0.8838414602244306,0.09670048251804697,0.02608945519389977,0.9797608950249045,0.02023910497509555,0.9768131751469357,0.023186824853064298,0.9646575868798091,0.9645393236838512,0.9645514002946328,0.9646575868798091,0.9418145840666416,0.944195136923661,0.939726653937606
Deep Neural Network,0.9003377037873902,0.9018016028091638,0.8996924128503077,0.10030758714969241,0.9055488415244511,0.0944511584755487,0.9668063898841054,0.9387089052994817,0.9912061457309201,0.9377771264530086,0.8796451826094235,0.19139967060153448,0.03284139082537255,0.9777253977486561,0.02227460225134396,0.9767910325185868,0.023208967481413285,0.9630114963448296,0.963013456048365,0.9634039950830028,0.9630114963448296,0.939505377957734,0.941169937021519,0.9387089052994817
k-Nearest Neighbors,0.8816723869259894,0.8082084750436621,0.9389952153110048,0.06100478468899525,0.7104288499025341,0.2895711500974659,0.883578444130707,0.9249804730345286,0.9727790246932946,0.9246329573065305,0.7685622687060688,0.582362487142979,0.07289236569531841,0.9109657307580523,0.08903426924194764,0.9848009140286059,0.015199085971394152,0.9161868939646718,0.9203670667266456,0.9332086977315415,0.9161868939646718,0.8772863494943269,0.84761488196557,0.9249804730345286
SVM (Polynomial Kernel),0.8616339878215672,0.8707869480247178,0.8559466848940533,0.14405331510594668,0.8878536019265729,0.11214639807342712,0.921344875365898,0.9153254113104182,0.9800647507673258,0.913118295447231,0.8424011528214065,0.14853579565146438,0.03959710728366491,0.974704137726783,0.02529586227321697,0.9669539111480296,0.03304608885197032,0.9523321301099079,0.9519444410897328,0.9520724834504023,0.9523321301099079,0.9207779480159527,0.9274037565373012,0.9153254113104182
Gaussian Naive Bayes,0.8568570736615362,0.7459742238333847,0.9520391888812941,0.04796081111870587,0.6145792236591754,0.38542077634082456,0.7090379847871113,0.9062173248355675,0.9412128869794304,0.9047722744436836,0.6991648031383356,3.2458664923038327,0.12005712184628102,0.8603954607898405,0.13960453921015947,0.9873959594296408,0.012604040570359354,0.8775967887078998,0.8867000201146588,0.9172764870699467,0.8775967887078998,0.8326430276898001,0.8009875915444079,0.9062173248355675
Gaussian Process Classifier,0.829335928948932,0.7833820662768031,0.8691045796308954,0.1308954203691046,0.7329085006814778,0.2670914993185221,0.4435377102040358,0.8911144585946484,0.6634949463299419,0.8898007277810582,0.7375028007681278,0.5221664236739784,0.18096538063116788,0.9131243375584015,0.08687566244159857,0.9680809420776573,0.031919057922342654,0.9047208824986602,0.9096106358452037,0.9240651647959086,0.9047208824986602,0.861081302528671,0.8504947213795676,0.8911144585946484
Decision Tree Classifier,0.6758388423156898,0.6558386894677951,0.6901344269765323,0.3098655730234678,0.625785736896848,0.374214263103152,0.4903968845489313,0.7970069565275574,0.7970069565275574,0.7896052921531919,0.5725798333076685,4.9158818599925524,0.1363868919424475,0.9038794860785823,0.09612051392141759,0.9263817263114028,0.07361827368859719,0.8636131080575525,0.866168694172888,0.8698307626612395,0.8636131080575525,0.7853884366929673,0.7760837316041252,0.7970069565275574
Random Forest Classifier,0.640371711665385,0.7354571948998179,0.5896559580770107,0.41034404192298934,0.979148181011535,0.02085181898846496,0.9299096221026808,0.7933143440801188,0.9732864209964158,0.7665403376030423,0.7231680693691406,0.2193389223156835,0.06006111242555687,0.9969727300832271,0.0030272699167730086,0.9129069288479191,0.08709307115208087,0.9202899869566536,0.9121065565251003,0.9254023353404369,0.9202899869566536,0.844265308561281,0.946027554929727,0.7933143440801188
