Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 10.0, 'gamma': 1e-05}",0.9053197809368294,0.8827861579414374,0.9212560386473431,0.078743961352657,0.8484736355226643,0.15152636447733583,0.9507868935146467,0.9414002082176879,0.9812506338056253,0.9410385480368257,0.8558077037812462,0.11895895004947946,0.03211426302392378,0.9615443777880326,0.03845562221196739,0.9814721224618159,0.018527877538184034,0.953983674020104,0.954705248859813,0.956443725354559,0.953983674020104,0.9270755134793609,0.9149728789922401,0.9414002082176879
"{'C': 10.0, 'gamma': 0.0001}",0.9052016524591462,0.9075865832616404,0.903768115942029,0.09623188405797103,0.9121817398099357,0.08781826019006436,0.9575542635510328,0.9417625382048247,0.9861718784252442,0.9408470552116652,0.8866655399990556,0.10642464938843543,0.028319470741220848,0.9797569604676204,0.020243039532379648,0.9778474890332115,0.022152510966788542,0.9654894420832489,0.9653976850182439,0.9654890583682768,0.9654894420832489,0.9431830409275308,0.9450146144215734,0.9417625382048247
"{'C': 100.0, 'gamma': 1e-05}",0.9003969418539656,0.895788026348298,0.903671497584541,0.09632850241545894,0.8888839071831933,0.11111609281680675,0.9537420871813671,0.9386813622876302,0.9860087299835699,0.9378177579516391,0.8718419508559752,0.11109987039521199,0.029883396290381496,0.9736912269907194,0.02630877300928063,0.9777137488719989,0.02228625112800111,0.9605612898873372,0.9606625769176107,0.9609973165720342,0.9605612898873372,0.9357301355152364,0.9332988280275961,0.9386813622876302
"{'C': 1.0, 'gamma': 0.0001}",0.8997785485243881,0.88177843877092,0.91256038647343,0.08743961352657006,0.8545417439182821,0.14545825608171797,0.9521237101680841,0.9380624831408323,0.9815147651011698,0.9375061451667136,0.8546148452382104,0.11789648380260356,0.03175891025738147,0.9635645798082347,0.03643542019176536,0.9795250856106094,0.020474914389390687,0.953983674020104,0.9545552395680712,0.9559958592123496,0.953983674020104,0.9266000699427016,0.9170334147644457,0.9380624831408323
"{'C': 100.0, 'gamma': 0.0001}",0.889937624033734,0.9029535959408026,0.8817391304347826,0.11826086956521739,0.9267828712430595,0.0732171287569406,0.9551484117680615,0.9327785023039933,0.9850452934157783,0.9309789776332991,0.8823344428432517,0.109898684416567,0.029132916771131993,0.983817874173204,0.0161821258267959,0.9731111904997677,0.026888809500232223,0.9646697699521015,0.9642387345430727,0.9644068442627575,0.9646697699521015,0.940675487278328,0.9499470308714135,0.9327785023039933
"{'C': 1.0, 'gamma': 'auto'}",0.8832857286352216,0.8997767301970623,0.8729468599033817,0.12705314009661836,0.9302998393828332,0.06970016061716681,0.9587619718333704,0.9288848538351958,0.9857420969051957,0.9267043264520662,0.8790875445209385,0.10550182881356404,0.02810685924024533,0.9848228477670101,0.01517715223298981,0.9712222979598764,0.028777702040123643,0.9638399784119274,0.9632597294382066,0.9635176076039166,0.9638399784119274,0.938853850209328,0.9507610686713548,0.9288848538351958
"{'C': 1.0, 'gamma': 'scale'}",0.8832857286352216,0.8997767301970623,0.8729468599033817,0.12705314009661836,0.9302998393828332,0.06970016061716681,0.9587619718333704,0.9288848538351958,0.9857420969051957,0.9267043264520662,0.8790875445209385,0.10550184689381699,0.028106861106082015,0.9848228477670101,0.01517715223298981,0.9712222979598764,0.028777702040123643,0.9638399784119274,0.9632597294382066,0.9635176076039166,0.9638399784119274,0.938853850209328,0.9507610686713548,0.9288848538351958
"{'C': 1.0, 'gamma': 1e-05}",0.8809225572070183,0.8225195134518557,0.9256038647342996,0.0743961352657005,0.7426916427402673,0.25730835725973267,0.9393902715920266,0.924835978411348,0.977221752828315,0.9245040722220743,0.7842509276997649,0.1354876134866731,0.03634386278410357,0.9240680920883966,0.07593190791160334,0.9818847585674974,0.01811524143250276,0.924408014571949,0.9275663202738318,0.9368026781739532,0.924408014571949,0.8872282725968492,0.8622882006538823,0.924835978411348
"{'C': 10.0, 'gamma': 'auto'}",0.8789435174268918,0.902797015557228,0.8641545893719806,0.13584541062801933,0.9479198966408268,0.052080103359173124,0.9610448178831458,0.9265140480059924,0.9868037693197703,0.9237989942746744,0.8842020272061015,0.102754112113569,0.027262700517091953,0.9888735066400042,0.011126493359995892,0.9694448759156373,0.030555124084362607,0.9654860689469068,0.9647064505434825,0.9653854274279812,0.9654860689469068,0.9409014199667901,0.9586823862782321,0.9265140480059924
"{'C': 10.0, 'gamma': 'scale'}",0.8789435174268918,0.902797015557228,0.8641545893719806,0.13584541062801933,0.9479198966408268,0.052080103359173124,0.9610448178831458,0.9265140480059924,0.9868037693197703,0.9237989942746744,0.8842020272061015,0.10275409419011969,0.02726270056357947,0.9888735066400042,0.011126493359995892,0.9694448759156373,0.030555124084362607,0.9654860689469068,0.9647064505434825,0.9653854274279812,0.9654860689469068,0.9409014199667901,0.9586823862782321,0.9265140480059924
"{'C': 100.0, 'gamma': 'auto'}",0.8789435174268918,0.902797015557228,0.8641545893719806,0.13584541062801933,0.9479198966408268,0.052080103359173124,0.9610448178831458,0.9265140480059924,0.9868037693197703,0.9237989942746744,0.8842020272061015,0.102754112113569,0.027262700517091953,0.9888735066400042,0.011126493359995892,0.9694448759156373,0.030555124084362607,0.9654860689469068,0.9647064505434825,0.9653854274279812,0.9654860689469068,0.9409014199667901,0.9586823862782321,0.9265140480059924
"{'C': 100.0, 'gamma': 'scale'}",0.8789435174268918,0.902797015557228,0.8641545893719806,0.13584541062801933,0.9479198966408268,0.052080103359173124,0.9610448178831458,0.9265140480059924,0.9868037693197703,0.9237989942746744,0.8842020272061015,0.10275409419011969,0.02726270056357947,0.9888735066400042,0.011126493359995892,0.9694448759156373,0.030555124084362607,0.9654860689469068,0.9647064505434825,0.9653854274279812,0.9654860689469068,0.9409014199667901,0.9586823862782321,0.9265140480059924
