K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.9131706616884336,0.8560037627882805,0.956231884057971,0.043768115942028965,0.7762351548339292,0.2237648451660707,0.9389277257043123,0.9457286170020666,0.977553609366675,0.945521714415755,0.8259358181981831,0.3606154927419989,0.05680953950048858,0.935225349946162,0.06477465005383787,0.9893807752790226,0.010619224720977493,0.9392059637050529,0.9416013000048382,0.9492402407597653,0.9392059637050529,0.9087266499509281,0.8828079650564759,0.9457286170020666
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.9067866023480887,0.8468053181017874,0.9518840579710144,0.04811594202898548,0.7630404571725438,0.23695954282745632,0.9395608543937571,0.941531938230239,0.9773729868388884,0.9414237164566363,0.814429520464189,0.2945977556786469,0.05971440937931129,0.9311798184894631,0.06882018151053682,0.9881994998831262,0.011800500116873835,0.9350907373676044,0.9377384368717114,0.9458223056636248,0.9350907373676044,0.9028095338262269,0.8756199785278348,0.941531938230239
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.9064160037228957,0.846292901430072,0.9516908212560387,0.048309178743961345,0.762498629570825,0.23750137042917502,0.9207932534530274,0.941430192456456,0.9734608016455291,0.9411867268032335,0.814066921623455,0.4885541619870075,0.05723837007377258,0.9311695636568732,0.06883043634312669,0.9882892852669636,0.011710714733036354,0.9350839910949201,0.9376761242156304,0.9457870856769548,0.9350839910949201,0.902566195645545,0.8753939574188943,0.941430192456456
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.9037866908125537,0.8464412700643464,0.9473429951690822,0.05265700483091786,0.7672394316866347,0.2327605683133652,0.8988794644727853,0.9397664573343232,0.9705505705674909,0.9394265991638125,0.8143225171396514,0.6446820124117257,0.05754850026186328,0.9321899194995641,0.06781008050043584,0.9873172608804804,0.012682739119519715,0.9350941105039465,0.9376784256850739,0.9458773459095745,0.9350941105039465,0.9026290450746959,0.8772783462835576,0.9397664573343232
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.9030629879340456,0.8389335381089091,0.9518840579710146,0.04811594202898548,0.7508021464434553,0.24919785355654467,0.9360206766881097,0.9389964308723965,0.9760430205089221,0.9388209452296549,0.8053604464941424,0.3752232334366569,0.061898974638295724,0.9261088037737784,0.07389119622622162,0.9881568636367399,0.011843136363260176,0.9309822573028402,0.9340161569616431,0.9434626657643819,0.9309822573028402,0.8974990553720715,0.8694795050400976,0.9389964308723965
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.9030629879340456,0.8389335381089091,0.9518840579710146,0.04811594202898548,0.7508021464434553,0.24919785355654467,0.9360206766881097,0.9389964308723965,0.9760430205089221,0.9388209452296549,0.8053604464941424,0.3752232334366569,0.061898974638295724,0.9261088037737784,0.07389119622622162,0.9881568636367399,0.011843136363260176,0.9309822573028402,0.9340161569616431,0.9434626657643819,0.9309822573028402,0.8974990553720715,0.8694795050400976,0.9389964308723965
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.901937777890591,0.837003471804658,0.9516908212560387,0.048309178743961345,0.7484274346343313,0.25157256536566885,0.8844271331696245,0.9383947620098582,0.9679777036655578,0.938041996115541,0.803487267371198,0.7719377573184365,0.06319791811879201,0.9250987027636774,0.07490129723632262,0.9882587393513937,0.011741260648606233,0.9301592120353505,0.9332367597659241,0.9431062229078518,0.9301592120353505,0.8962660755431973,0.8683430869928624,0.9383947620098582
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.901937777890591,0.837003471804658,0.9516908212560387,0.048309178743961345,0.7484274346343313,0.25157256536566885,0.8844271331696245,0.9383947620098582,0.9679777036655578,0.938041996115541,0.803487267371198,0.7719377573184365,0.06319791811879201,0.9250987027636774,0.07490129723632262,0.9882587393513937,0.011741260648606233,0.9301592120353505,0.9332367597659241,0.9431062229078518,0.9301592120353505,0.8962660755431973,0.8683430869928624,0.9383947620098582
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.8982188571813039,0.8286467703290133,0.9516908212560387,0.048309178743961345,0.734318141605112,0.265681858394888,0.9150716466817613,0.9358669457764581,0.9717184808183852,0.9355481392285961,0.7935209273744824,0.5306555646435371,0.06188554364098666,0.9200430702968774,0.0799569297031226,0.9881454821939497,0.011854517806050246,0.9260507319705862,0.9294826265352937,0.9403706641099354,0.9260507319705862,0.8907412939051709,0.8612318118995308,0.9358669457764581
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.8982188571813039,0.8286467703290133,0.9516908212560387,0.048309178743961345,0.734318141605112,0.265681858394888,0.9150716466817613,0.9358669457764581,0.9717184808183852,0.9355481392285961,0.7935209273744824,0.5306555646435371,0.06188554364098666,0.9200430702968774,0.0799569297031226,0.9881454821939497,0.011854517806050246,0.9260507319705862,0.9294826265352937,0.9403706641099354,0.9260507319705862,0.8907412939051709,0.8612318118995308,0.9358669457764581
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.8963230575289168,0.8243584146205325,0.9518840579710144,0.04811594202898548,0.7273678322077097,0.27263216779229027,0.938284395274084,0.9344458489106471,0.9754706386060759,0.9342213519933319,0.7883631726323467,0.34221730312002296,0.0664526575098631,0.9170076398502793,0.08299236014972056,0.9880303039349323,0.011969696065067748,0.9235849693044592,0.9273022299884056,0.9389749996450591,0.9235849693044592,0.8877592813614262,0.857699068071321,0.9344458489106471
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.8963230575289168,0.8243584146205325,0.9518840579710144,0.04811594202898548,0.7273678322077097,0.27263216779229027,0.938284395274084,0.9344458489106471,0.9754706386060759,0.9342213519933319,0.7883631726323467,0.34221730312002296,0.0664526575098631,0.9170076398502793,0.08299236014972056,0.9880303039349323,0.011969696065067748,0.9235849693044592,0.9273022299884056,0.9389749996450591,0.9235849693044592,0.8877592813614262,0.857699068071321,0.9344458489106471
"{'n_neighbors': 3, 'metric': 'manhattan'}",0.8845488058217447,0.8312205581815345,0.9253140096618357,0.07468599033816425,0.7581882981260508,0.24181170187394918,0.8684249121826918,0.9277444272787465,0.9637043093333094,0.9270276386735669,0.795327281741751,0.912231044195563,0.05981965479891101,0.9301748448956572,0.06982515510434292,0.9822113962641913,0.017788603735808706,0.9293462861768873,0.9319450304271409,0.9400283797754154,0.9293462861768873,0.8932419165322079,0.870199847195121,0.9277444272787465
"{'n_neighbors': 3, 'metric': 'euclidean'}",0.8816229224062235,0.8140214548059633,0.9342028985507247,0.06579710144927534,0.7235707338638374,0.27642926613616264,0.8517187718004496,0.9250925275710091,0.9588891861304132,0.9246524304532725,0.7752288049939674,1.0701664213098632,0.06743626827339128,0.9159821565912937,0.08401784340870636,0.9839263153039658,0.016073684696034075,0.9194798623760372,0.9232503068820934,0.9348846890258808,0.9194798623760372,0.8812939017299918,0.8537485245839017,0.9250925275710091
