Data Over-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
SVM-SMOTE,0.8873871689328864,0.8832729389234149,0.8906941266209001,0.10930587337909992,0.8785788458685655,0.1214211541314345,0.9524725028537834,0.9306709499501261,0.9860795603689738,0.9295624628271013,0.8569348050755865,0.12445881915312151,0.03307927941875309,0.9706477732793521,0.0293522267206478,0.9747151659414091,0.025284834058590888,0.9556312656641603,0.955787321823397,0.9565961506712523,0.9556312656641603,0.9279343868891723,0.9266470059049873,0.9306709499501261
SMOTEN,0.8869774324824269,0.8886650550631211,0.8863463005339436,0.11365369946605647,0.8934959349593496,0.10650406504065041,0.9544546141059477,0.9305213284046236,0.9862211526880924,0.9292716140312507,0.8638096513714869,0.12546172750628456,0.03461785594342097,0.9746963562753037,0.025303643724696345,0.9738073615917663,0.026192638408233715,0.958097020568663,0.9580862690505498,0.9586650739158988,0.958097020568663,0.9314223684829863,0.9336516482755579,0.9305213284046236
SMOTE,0.8832966770407038,0.8863351522279852,0.8819603356216628,0.11803966437833718,0.8942608831819605,0.10573911681803944,0.9505583607838521,0.9283283459484832,0.9852587263794057,0.9268942056252725,0.861371592713622,0.12552783192145422,0.03381972469582796,0.9746963562753037,0.025303643724696345,0.9728590384811677,0.02714096151883233,0.9572760025062657,0.9572395924953967,0.9580334250929257,0.9572760025062657,0.9300063045257547,0.9335599608315641,0.9283283459484832
Adaptive Synthetic (ADASYN),0.8825220156555773,0.8842846723734213,0.8819603356216628,0.11803966437833718,0.8897332506203475,0.11026674937965258,0.9504566121866509,0.9278222730739893,0.9853025011040186,0.9264242869306483,0.858650114881415,0.1452871727228492,0.03607355472298529,0.9736842105263158,0.02631578947368418,0.9728256422844052,0.027174357715594843,0.956453634085213,0.9564386915476129,0.9571573595777537,0.956453634085213,0.9287247963061324,0.9312794464523763,0.9278222730739893
Baseline,0.8788244051265715,0.8817268572971098,0.8775743707093822,0.1224256292906179,0.8894065142499217,0.11059348575007827,0.9502098125283946,0.9256292906178489,0.9852501567243227,0.9240576785947581,0.8557547355223781,0.12166078275813819,0.03432583878389445,0.9736842105263158,0.02631578947368418,0.9718689394712667,0.02813106052873332,0.9556312656641603,0.9555622238825443,0.9563187754726239,0.9556312656641603,0.9272016565598165,0.9306377268605942,0.9256292906178489
Borderline SMOTE,0.8780577299412915,0.8796975164101186,0.8775743707093822,0.1224256292906179,0.8849255583126552,0.11507444168734487,0.9507378215746924,0.925123217743355,0.9853112251673013,0.9235897082205182,0.8530547843625433,0.12571788977582118,0.03378161552740121,0.9726720647773279,0.027327935222672073,0.9718335787923417,0.028166421207658332,0.9548088972431077,0.9547644715479804,0.9554498656827599,0.9548088972431077,0.925930216320473,0.9283795685524984,0.925123217743355
KMeans SMOTE,0.8676207513416816,0.8940092165898618,0.8508771929824561,0.14912280701754388,0.941747572815534,0.058252427184465994,0.9470927893448011,0.9193657219973009,0.9839299666169472,0.9168111322278985,0.872719186089512,0.11947261321251088,0.033312502585411095,0.9878542510121457,0.012145748987854255,0.9663366336633663,0.03366336633663369,0.962171052631579,0.9614205219043928,0.9617261847543978,0.962171052631579,0.9354930967834194,0.9540421032394502,0.9193657219973009
