K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.9062178438899067,0.8411652947227098,0.9561268472906403,0.0438731527093596,0.7525144715143677,0.24748552848563232,0.8911196406847797,0.9411215471701038,0.9711705064683434,0.9407782419636386,0.8087710784033993,0.7123656339510149,0.062143131214655006,0.9261162470495673,0.07388375295043276,0.9893230743213599,0.010676925678640106,0.9318070662388344,0.9348549422745922,0.944755711690938,0.9318070662388344,0.8988592044363954,0.8709187729178638,0.9411215471701038
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.9062178438899067,0.8411652947227098,0.9561268472906403,0.0438731527093596,0.7525144715143677,0.24748552848563232,0.8911196406847797,0.9411215471701038,0.9711705064683434,0.9407782419636386,0.8087710784033993,0.7123656339510149,0.062143131214655006,0.9261162470495673,0.07388375295043276,0.9893230743213599,0.010676925678640106,0.9318070662388344,0.9348549422745922,0.944755711690938,0.9318070662388344,0.8988592044363954,0.8709187729178638,0.9411215471701038
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.9035294561372936,0.8403747591302464,0.9516625615763546,0.04833743842364531,0.7536820261738025,0.24631797382619752,0.9481506942273923,0.9393811431013166,0.979067390338213,0.9390550225851465,0.8072816162728129,0.2654165637355119,0.05945636339853789,0.9270997246262785,0.07290027537372148,0.9882694343617665,0.011730565638233534,0.931812654770285,0.9347307270687044,0.9440391960117888,0.931812654770285,0.8984946979130981,0.8709757302677845,0.9393811431013166
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.90249932307697,0.8328375559697603,0.9561268472906403,0.0438731527093596,0.7385114370101722,0.2614885629898278,0.9097002759390176,0.9385808967635998,0.9726562701863213,0.9382464348418262,0.7988576958836082,0.5325519853334539,0.06317186310397238,0.921034946236559,0.07896505376344089,0.9892302913531786,0.010769708646821377,0.9276952953250546,0.9310774001307933,0.9420119901458758,0.9276952953250546,0.8933423277842867,0.8638708641816755,0.9385808967635998
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.90249932307697,0.8328375559697603,0.9561268472906403,0.0438731527093596,0.7385114370101722,0.2614885629898278,0.9097002759390176,0.9385808967635998,0.9726562701863213,0.9382464348418262,0.7988576958836082,0.5325519853334539,0.06317186310397238,0.921034946236559,0.07896505376344089,0.9892302913531786,0.010769708646821377,0.9276952953250546,0.9310774001307933,0.9420119901458758,0.9276952953250546,0.8933423277842867,0.8638708641816755,0.9385808967635998
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.9024150683635896,0.8431986575623861,0.9473522167487685,0.052647783251231525,0.7613656568293665,0.23863434317063348,0.904202871631786,0.9387585565778985,0.9734476496823804,0.9384966640273128,0.8102544258957318,0.6150767075056449,0.05710744849753635,0.9301648964070286,0.06983510359297142,0.9872307745832548,0.012769225416745258,0.933451874272423,0.9361882002692182,0.9446975535808945,0.933451874272423,0.9004675146556477,0.8742982157063106,0.9387585565778985
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.9022565284569424,0.8375774023198591,0.9518165024630542,0.04818349753694581,0.7493318363004825,0.25066816369951755,0.945783013229634,0.9384623424982461,0.9781090346384356,0.9381220859311554,0.804018875867374,0.28236790069395223,0.06468313663320492,0.9251081825334382,0.07489181746656176,0.9882245848486928,0.011775415151307228,0.9301948639046649,0.9332960253352856,0.9431910772663217,0.9301948639046649,0.8965425982307441,0.8687782105745876,0.9384623424982461
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.9022565284569424,0.8375774023198591,0.9518165024630542,0.04818349753694581,0.7493318363004825,0.25066816369951755,0.945783013229634,0.9384623424982461,0.9781090346384356,0.9381220859311554,0.804018875867374,0.28236790069395223,0.06468313663320492,0.9251081825334382,0.07489181746656176,0.9882245848486928,0.011775415151307228,0.9301948639046649,0.9332960253352856,0.9431910772663217,0.9301948639046649,0.8965425982307441,0.8687782105745876,0.9384623424982461
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.9020963804879414,0.842526004159885,0.947198275862069,0.05280172413793102,0.7599953803742003,0.2400046196257996,0.9200907182897564,0.9386774883113125,0.9754146401618653,0.9383332644754929,0.8095280153329798,0.45959338360943164,0.05706360948431928,0.930156700760556,0.069843299239444,0.9872930986628984,0.012706901337101617,0.9334519454639065,0.9361132557865404,0.9444853087338616,0.9334519454639065,0.900154730963608,0.8736442395185494,0.9386774883113125
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.9010063211432056,0.8403315820817856,0.9473522167487685,0.052647783251231525,0.7570983221000565,0.2429016778999435,0.9339710375008997,0.9377422964152968,0.9785159202249498,0.9374090718004084,0.8069566411949631,0.3606882495050175,0.057494977451477726,0.9281323760818254,0.07186762391817468,0.9872216542692887,0.012778345730711474,0.931817958535802,0.9347208127298325,0.943848259754154,0.931817958535802,0.8984725911377047,0.8721599881846724,0.9377422964152968
