Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Neighbourhood Cleaning Rule,0.9103415405144658,0.8949089997391942,0.9211822660098522,0.0788177339901478,0.8711394808264594,0.12886051917354058,0.9504762444432875,0.9444047312215533,0.9830325389773642,0.9440964128371403,0.8703724640750897,0.12756513208899256,0.031755692322986785,0.9676271964332547,0.03237280356674534,0.9814693399535162,0.01853066004648385,0.9589135439234366,0.9595257114418443,0.9607506538743736,0.9589135439234366,0.9346841743889351,0.9263044103899878,0.9444047312215533
Edited Nearest Neighbours,0.9073574953949428,0.870404373862599,0.9341133004926109,0.06588669950738915,0.8159636233314912,0.18403637666850875,0.9550643065699878,0.9422443305505278,0.9852140242610514,0.9420273497241565,0.8411546624919389,0.14720883960358913,0.038856700335695805,0.9503753606084449,0.0496246393915552,0.9842930229128412,0.015706977087158888,0.9473894225402488,0.9488237573038814,0.9525832800207142,0.9473894225402488,0.9186931686781139,0.9001283231221662,0.9422443305505278
All KNN,0.9013735489132666,0.8470728260703526,0.9427339901477833,0.057266009852216734,0.7721967828281754,0.22780321717182456,0.9518326931369655,0.9379574422283632,0.9843108983365179,0.9376087444323642,0.8146084614489367,0.1713156896678505,0.04674894000305356,0.933180894308943,0.06681910569105691,0.9862180830992411,0.013781916900758875,0.9351022708374624,0.9377368822895499,0.9458451090940089,0.9351022708374624,0.9029139298560707,0.8792074329637083,0.9379574422283632
Condensed Nearest Neighbour,0.8964651757236305,0.8807061808861837,0.9079433497536946,0.09205665024630541,0.8578587530365548,0.1421412469634452,0.9440270601431012,0.9357445571217988,0.9800627677513665,0.9350315201243438,0.8533240801008042,0.14786364603951008,0.03913772452491723,0.963545764489903,0.036454235510097036,0.978475991214921,0.02152400878507897,0.9531784648040696,0.9538761562833729,0.9556652638912402,0.9531784648040696,0.9257791174577055,0.918167372125738,0.9357445571217988
Repeated Edited Nearest Neighbours,0.8945928519435475,0.8272676252387254,0.947198275862069,0.05280172413793101,0.7374343517255102,0.26256564827448975,0.9502989784120381,0.9331044487099488,0.9833370395419352,0.9327129461830594,0.7917534717191584,0.2167048540794605,0.05749309788051399,0.9190106215578284,0.08098937844217152,0.987045770156058,0.012954229843942011,0.9244221600862954,0.9281599865184474,0.9399907900915878,0.9244221600862954,0.889409651485493,0.8622400609407841,0.9331044487099488
Random Under Sampler,0.8917356135351022,0.8403421122402481,0.9298029556650247,0.07019704433497535,0.767065063894108,0.232934936105892,0.9426523224423217,0.9319959572450485,0.980723223813658,0.9319037282365012,0.804941331982503,0.17740663434875004,0.047970341153923485,0.934188958825072,0.06581104117492788,0.9829836128988942,0.017016387101105784,0.9334304456359052,0.9358240268313761,0.9423352587887802,0.9334304456359052,0.8991372329768194,0.8750243383965011,0.9319959572450485
Baseline,0.8844471827639444,0.8965433513467689,0.8774630541871921,0.12253694581280788,0.9216761997628494,0.07832380023715052,0.9594124468030424,0.9296138703928355,0.9859235835500537,0.9272682065126803,0.8756642250726654,0.11223078292738206,0.02997221258958681,0.9817646865984788,0.01823531340152111,0.9722401446002158,0.027759855399784192,0.9621922676936465,0.9617364392025962,0.9626753730128949,0.9621922676936465,0.9366951569654607,0.9469581721815327,0.9296138703928355
Cluster Centroids,0.8815367976625108,0.8400198331247541,0.9120997536945813,0.0879002463054187,0.7801420521682619,0.21985794783173812,0.9523292185302688,0.9256768110198582,0.9833393609688917,0.9251737820535457,0.8036832455490667,0.20617707558218867,0.06106006242516549,0.939253868345135,0.060746131654864935,0.9789643546362696,0.0210356453637304,0.9342637775454088,0.9363176980146364,0.9415150580221691,0.9342637775454088,0.8993088131823577,0.8795532034022657,0.9256768110198582
One Sided Selection,0.8763600860563512,0.8824945191836833,0.8729987684729064,0.1270012315270936,0.8957457536489795,0.10425424635102054,0.9569433019232007,0.924349338340833,0.9852443945815392,0.9222988687120314,0.8571880649170835,0.11974330788620224,0.03108244515015679,0.9756999082087594,0.0243000917912405,0.9710148591325951,0.028985140867404988,0.9564463674687953,0.9561821064700267,0.956804968237594,0.9564463674687953,0.9278712424397996,0.9333803063907873,0.924349338340833
Tomek Links,0.8763600860563512,0.8824945191836833,0.8729987684729064,0.1270012315270936,0.8957457536489795,0.10425424635102054,0.9567715128177534,0.924349338340833,0.9852268728545979,0.9222988687120314,0.8571880649170835,0.11976948243682804,0.03113712483853514,0.9756999082087594,0.0243000917912405,0.9710148591325951,0.028985140867404988,0.9564463674687953,0.9561821064700267,0.956804968237594,0.9564463674687953,0.9278712424397996,0.9333803063907873,0.924349338340833
