Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9184858891255956,0.9161235709223325,0.9208144796380091,0.07918552036199096,0.9155734067736927,0.08442659322630744,0.965300453441778,0.950278684164133,0.9900479325169727,0.9488989695278581,0.8984359247434752,0.20394340556414384,0.028524010308113697,0.979742888690257,0.020257111309742896,0.9819793660583134,0.018020633941686584,0.9687268961697312,0.9686026538696589,0.9694283133848229,0.9687268961697312,0.9484380303449333,0.9487763864160029,0.950278684164133
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9183532362383138,0.9280182809594575,0.9125188536953244,0.08748114630467572,0.9470938847873833,0.052906115212616775,0.9700830255776773,0.9501796294520753,0.9910659412826596,0.9487979285025939,0.9132085389966669,0.12792877629757413,0.02499567423369082,0.9878404052088261,0.012159594791173746,0.9800761047319752,0.019923895268024832,0.9736722620658611,0.9733603705649746,0.973843579406222,0.9736722620658611,0.9559474582095073,0.9635849947596793,0.9501796294520753
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9183532362383138,0.9280182809594575,0.9125188536953244,0.08748114630467572,0.9470938847873833,0.052906115212616775,0.9683946509010192,0.9501796294520753,0.9872959714290983,0.9487979285025939,0.9132085389966669,0.14311242677887484,0.025485347811460165,0.9878404052088261,0.012159594791173746,0.9800761047319752,0.019923895268024832,0.9736722620658611,0.9733603705649746,0.973843579406222,0.9736722620658611,0.9559474582095073,0.9635849947596793,0.9501796294520753
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.916967577029618,0.9123141324617868,0.9208144796380091,0.07918552036199096,0.9078192929824271,0.09218070701757294,0.9680814148687761,0.949253043138492,0.9902173537390256,0.9479198933216966,0.8935323216770397,0.1881474130510326,0.028327301678305584,0.977691606638975,0.022308393361024945,0.9819253565306195,0.018074643469380317,0.9670726364509552,0.9670160241101323,0.9678836919154441,0.9670726364509552,0.9460067227084822,0.9448723247565233,0.949253043138492
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9142257359149535,0.9177494813606331,0.9125188536953244,0.08748114630467571,0.9263104027035917,0.07368959729640846,0.963611825736986,0.947655837454599,0.9897935249018841,0.9462255639227285,0.9003453126040543,0.20126041257798302,0.02718055125587749,0.9827928212138738,0.017207178786126168,0.9800409145169049,0.01995908548309513,0.969580423790589,0.9693464597723772,0.969890336920736,0.969580423790589,0.9495361753514214,0.9531756586102483,0.947655837454599
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9141499116692516,0.9182408922347004,0.9125188536953244,0.08748114630467572,0.9297419900361077,0.07025800996389232,0.9620344918492604,0.9476492650796055,0.9875774303096285,0.9461684792639831,0.9017163762839376,0.2532455588124781,0.028972235302034664,0.9827796764638868,0.017220323536113007,0.9801017201422059,0.019898279857794028,0.9695718097842145,0.9694032337607832,0.970576436133711,0.9695718097842145,0.9497610896082782,0.9549218550891568,0.9476492650796055
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.911383076323006,0.9172566161618855,0.9082453494218201,0.09175465057817998,0.9303540242007735,0.06964597579922659,0.9671314111902494,0.9460185858173473,0.990019048145983,0.9444544970752021,0.9001427774290597,0.16537780260156393,0.027373236888662757,0.9837918222128746,0.016208177787125168,0.9790931308565706,0.020906869143429388,0.9695542112765682,0.9692639590213046,0.969927553023836,0.9695542112765682,0.9492928777376525,0.9547235775286721,0.9460185858173473
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9107004150819402,0.9153035965618072,0.9082453494218201,0.09175465057817998,0.9255512933918507,0.07444870660814934,0.9633603828023042,0.9455190853178468,0.9893090867394273,0.943917178249415,0.8973572342635985,0.19475361689560491,0.027212309675795302,0.9827928212138738,0.017207178786126157,0.9790547212230192,0.020945278776980738,0.9687620931850243,0.9684822709248648,0.968947627793644,0.9687620931850243,0.94806844462775,0.952303007307435,0.9455190853178468
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9096434388223131,0.912530161059573,0.9084967320261439,0.0915032679738562,0.9203902263886784,0.07960977361132161,0.948911770478698,0.9446125632193744,0.9885377462235048,0.943313815043939,0.8937334556059439,0.28843710857035937,0.03145711440000099,0.9807283944126048,0.01927160558739507,0.9789358662638014,0.021064133736198514,0.9670904202060508,0.9670269579540094,0.9678846558528786,0.9670904202060508,0.9461216053584194,0.9496630463262399,0.9446125632193744
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.909029310473091,0.9177999476642011,0.9039718451483159,0.09602815485168428,0.9360141492494434,0.06398585075055664,0.949685671282613,0.9443811589167626,0.9858262366002304,0.9429096521523517,0.9007494396569874,0.2827503598343327,0.028762719958817663,0.9847904726852094,0.015209527314790484,0.9780496524531797,0.021950347546820296,0.9695718097842145,0.9693240646461143,0.9700747482281186,0.9695718097842145,0.9495542065541537,0.9570319008513116,0.9443811589167626
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9085664904747422,0.9165584785978276,0.9039718451483159,0.09602815485168428,0.9331165394632888,0.06688346053671132,0.9687307192262457,0.9443879065550891,0.9901258364958055,0.942633311972875,0.8994177651589379,0.16529634232551813,0.027366911048679422,0.9848039679618625,0.0151960320381373,0.9781204193575432,0.02187958064245667,0.9695366127689217,0.9691613552039604,0.9697075595519051,0.9695366127689217,0.9489574164215278,0.9556184794104161,0.9443879065550891
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9085576060403443,0.9167198979781085,0.9039718451483159,0.09602815485168428,0.9340556330494412,0.06594436695055891,0.9685080498199959,0.9443879065550891,0.9904211033777597,0.942585033881634,0.8998247414473093,0.16194606669297096,0.026795474213173562,0.9848039679618625,0.015196032038137318,0.9781703666770032,0.021829633322996735,0.9695630105303912,0.9691741576365176,0.9698554574376607,0.9695630105303912,0.949040888506915,0.9561129998632223,0.9443879065550891
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9083908914787635,0.9103844490841395,0.9082453494218201,0.09175465057817998,0.9187787315883291,0.08122126841167089,0.9616493227250651,0.9439942943193717,0.9871417419869434,0.9424528011949401,0.8919749664014065,0.2564345643609793,0.0317752795504379,0.9797432392169234,0.02025676078307658,0.979034269294096,0.02096573070590393,0.966298487361956,0.9662284315033209,0.9676103595002858,0.966298487361956,0.9448005265826732,0.9489065004412127,0.9439942943193717
