Data Over-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
SMOTE,0.8840070725981813,0.896760230326955,0.8773252890899952,0.12267471091000502,0.9265118868060045,0.07348811319399555,0.9517696899178104,0.929572874665754,0.9840516254757741,0.9269966841465594,0.877427560731159,0.15163083106290262,0.03240953541840278,0.9818204602415127,0.018179539758487125,0.9723540772750373,0.02764592272496265,0.9622150778456093,0.961796065597495,0.9637041627275036,0.9622150778456093,0.9367972037480493,0.949432982040521,0.929572874665754
Baseline,0.8832704496705472,0.8948209930936001,0.8773252890899952,0.12267471091000502,0.9222698053580408,0.07773019464195936,0.9523127135407466,0.92906680179126,0.9840501260005904,0.9265300746840046,0.8748354221390056,0.11630116422140455,0.03132821242051947,0.9808083144925249,0.019191685507474972,0.9723156541596911,0.027684345840308842,0.9613967472400446,0.9610076730694279,0.9628607837612304,0.9613967472400446,0.9355696731087538,0.9472927297588659,0.92906680179126
Borderline SMOTE,0.8825190643037772,0.8929729912455981,0.8773252890899952,0.12267471091000502,0.918671064917195,0.08132893508280506,0.9535699040455194,0.9285539812784395,0.9841632000610328,0.9260386101773457,0.8724954793851373,0.14660898712442613,0.030914728502324813,0.979782673466884,0.020217326533116007,0.9722876524717704,0.027712347528229556,0.9605696173806566,0.9602225055397698,0.9621403702314015,0.9605696173806566,0.9343807539529266,0.9454793586944829,0.9285539812784395
SMOTEN,0.8804402371347942,0.8940833452971287,0.8730517848164907,0.12694821518350932,0.9249430608950733,0.07505693910492674,0.9536844764567614,0.9274361225290018,0.9844951144486748,0.9246832267854062,0.8740869591194635,0.12154685647005323,0.031397712226428336,0.9818204602415128,0.018179539758487115,0.9713821237214186,0.02861787627858111,0.961405546493868,0.9608928439383111,0.962589880650431,0.961405546493868,0.9352242753610664,0.9481625923082462,0.9274361225290018
Adaptive Synthetic (ADASYN),0.8803397628963888,0.8941549924275994,0.8730517848164907,0.12694821518350932,0.9261913739854918,0.07380862601450837,0.9536744206023919,0.9274361225290018,0.9845106178078316,0.9246313374100643,0.8745690477866693,0.17331820148273505,0.03252912487204989,0.9818204602415127,0.018179539758487125,0.9714178178188168,0.02858218218118316,0.9613967472400446,0.9609063662540833,0.9628858122015249,0.9613967472400446,0.9352528910082907,0.9488045959021545,0.9274361225290018
SVM-SMOTE,0.8749424642967742,0.8867064724929075,0.8690296631473102,0.1309703368526898,0.9144262120150531,0.08557378798494696,0.9476033968924343,0.9239134154459232,0.982754204859468,0.9211981104072042,0.864802820292238,0.18666473938499475,0.03506516579030911,0.9787971677445362,0.02120283225546384,0.9703118509952942,0.02968814900470581,0.9581234248177861,0.9577902004391157,0.9597840004742691,0.9581234248177861,0.9304901366778319,0.9423690315051737,0.9239134154459232
KMeans SMOTE,0.8731907832650538,0.8948528722372451,0.8603683897801545,0.1396316102198455,0.9390894236482471,0.060910576351752836,0.9487549550442924,0.9230224889723906,0.9819454601230565,0.92002984669934,0.8753093779801577,0.12413852204875883,0.03304801332689081,0.9856765881646264,0.014323411835373546,0.9685438467630137,0.03145615323698622,0.9621567333195409,0.9614490221164433,0.96290073254799,0.9621567333195409,0.9358730617655214,0.9538166352056305,0.9230224889723906
