Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'gamma': 0.001}",0.9101576384690082,0.9134593169987216,0.9081159420289856,0.09188405797101447,0.9196497150706217,0.08035028492937835,0.9622036969850598,0.944951679674699,0.9892228694656415,0.9438580617147625,0.8941092730904311,0.09571782277456821,0.025493558463674237,0.9817874173204123,0.018212582679587763,0.9789132537684999,0.02108674623150013,0.9679450853403495,0.9677645078497861,0.9677819649382651,0.9679450853403495,0.9468931400735416,0.9492814844195608,0.944951679674699
"{'C': 1.0, 'gamma': 'auto'}",0.9088271186413526,0.9169558142523273,0.9036714975845411,0.09632850241545891,0.9316670342574176,0.06833296574258255,0.9634738106789209,0.9442471726757757,0.9894443664185444,0.9429356563249718,0.8988762916303313,0.09393388676055081,0.024898700261859696,0.9848228477670101,0.01517715223298981,0.9780134213503395,0.021986578649660672,0.9695844296026446,0.9692863565106835,0.9693192530199719,0.9695844296026446,0.9491679833810966,0.9548402278038782,0.9442471726757757
"{'C': 1.0, 'gamma': 'scale'}",0.9088271186413526,0.9169558142523273,0.9036714975845411,0.09632850241545891,0.9316670342574176,0.06833296574258255,0.9634738106789209,0.9442471726757757,0.9894443664185444,0.9429356563249718,0.8988762916303313,0.09393389970946539,0.024898705601285244,0.9848228477670101,0.01517715223298981,0.9780134213503395,0.021986578649660672,0.9695844296026446,0.9692863565106835,0.9693192530199719,0.9695844296026446,0.9491679833810966,0.9548402278038782,0.9442471726757757
"{'C': 10.0, 'gamma': 0.0001}",0.9081469460002412,0.8897075750336618,0.9211594202898551,0.07884057971014491,0.8615465453410053,0.1384534546589946,0.9592990589957019,0.9433746647672934,0.9889017718319565,0.942801439912469,0.8645012891537693,0.10385068821815699,0.02858015896408485,0.9655899092447315,0.03441009075526842,0.9816096742055971,0.018390325794402983,0.9572623625446941,0.9577470659502726,0.9590329156825158,0.9572623625446941,0.9315982597678202,0.9215781097733011,0.9433746647672934
"{'C': 10.0, 'gamma': 1e-05}",0.9059213110182387,0.8779025743051788,0.9257004830917875,0.07429951690821254,0.8351165673816696,0.16488343261833033,0.9253964741305634,0.9415894098789707,0.9816752036909472,0.9414029994695341,0.8496410192724555,0.1292731073093228,0.03506861553357894,0.9574783366661539,0.042521663333846084,0.9823500302600274,0.01764996973997244,0.9515044188086084,0.9524701727097418,0.9546588459104879,0.9515044188086084,0.9238220284267173,0.9087332988208485,0.9415894098789707
"{'C': 100.0, 'gamma': 1e-05}",0.9049370294267026,0.8821196952130272,0.9211594202898551,0.07884057971014491,0.8476542617046817,0.1523457382953181,0.9540839403565713,0.9413493353307963,0.987900469170976,0.9407121118905154,0.8553316508495066,0.10811729797220301,0.029937251397051855,0.9615392503717377,0.03846074962826231,0.981556471925576,0.018443528074423864,0.953966808338393,0.9546186277903074,0.9563880160514243,0.953966808338393,0.92675510039973,0.9146053668151289,0.9413493353307963
"{'C': 1.0, 'gamma': 0.0001}",0.9031318465346052,0.8773043525603406,0.9212560386473431,0.078743961352657,0.8375252870378921,0.16247471296210791,0.9315878349297224,0.9398748018699464,0.9823800698567122,0.9396279734921433,0.8487401278561887,0.12571618831422454,0.03413543146728619,0.9584935650925498,0.04150643490745014,0.9813463720966336,0.018653627903366422,0.9515044188086081,0.9523947969056307,0.9543002042612677,0.9515044188086081,0.923541401681845,0.9094358295672628,0.9398748018699464
"{'C': 10.0, 'gamma': 0.001}",0.8989858203425338,0.9194987222870301,0.886183574879227,0.11381642512077297,0.9577115116452077,0.04228848835479215,0.9702561315655774,0.9385386417697166,0.9918746032135276,0.9365596062647888,0.9038108410736874,0.08593715866085203,0.02282723012269773,0.9908937086602062,0.009106291339793859,0.9743181929488213,0.025681807051178663,0.9712372664103082,0.9706570982635894,0.9711917792797623,0.9712372664103082,0.9509921274950486,0.9660148522970144,0.9385386417697166
"{'C': 100.0, 'gamma': 0.001}",0.8989858203425338,0.9194987222870301,0.886183574879227,0.11381642512077297,0.9577115116452077,0.04228848835479215,0.9698123930729097,0.9385386417697166,0.99176458669433,0.9365596062647888,0.9038108410736874,0.0862598190720846,0.022937180768652244,0.9908937086602062,0.009106291339793859,0.9743181929488213,0.025681807051178663,0.9712372664103082,0.9706570982635894,0.9711917792797623,0.9712372664103082,0.9509921274950486,0.9660148522970144,0.9385386417697166
"{'C': 10.0, 'gamma': 'auto'}",0.896127814424131,0.9191760927244799,0.8818357487922706,0.11816425120772948,0.9626182328309987,0.03738176716900121,0.9706777759662923,0.9368723429394363,0.9919382203307754,0.9347164204851385,0.9039457219994365,0.08994792763591916,0.022752547613007733,0.9919089370866022,0.008091062913397918,0.9733909824736463,0.026609017526353695,0.9712406395466504,0.9706116922595388,0.9713683572687761,0.9712406395466504,0.9508395379548732,0.9680046076523225,0.9368723429394363
