Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Neural Network,0.9010922469804344,0.9035334035334035,0.8996924128503077,0.10030758714969241,0.9085710846274226,0.09142891537257736,0.9556870353757319,0.9392262182015615,0.984294330530702,0.9382868094308329,0.881738986038867,0.16673924813242139,0.03126944648162899,0.9787600235528154,0.02123997644718456,0.9768053567813019,0.023194643218698168,0.9638426305092972,0.9637837997795988,0.9640050943766788,0.9638426305092972,0.9406416348719789,0.9426882207043622,0.9392262182015615
Logistic Regression,0.8987047970678307,0.8974511118560734,0.899749373433584,0.10025062656641603,0.8961825119199148,0.10381748808008522,0.9519331679434008,0.9377272473090376,0.982831222787162,0.9367789290166026,0.8740531880063022,0.14751288537934612,0.032289942747317564,0.9757051211844913,0.024294878815508698,0.9767624449534366,0.02323755504656348,0.9613734947068281,0.961370179232692,0.9616114304545124,0.9613734947068281,0.9368269447532519,0.9364724784366757,0.9377272473090376
Deep Neural Network,0.8980037273477052,0.8956482114376851,0.8996354522670312,0.10036454773296881,0.8919658119658119,0.10803418803418803,0.9479095978280929,0.9371667620530523,0.9809836167957444,0.9363754154611902,0.8714436068961559,0.2713699701753782,0.037312329289808495,0.9746980718390734,0.025301928160926617,0.9766751196187075,0.023324880381292618,0.9605504494393383,0.9606145247664709,0.9607506014186707,0.9605504494393383,0.9356628965480329,0.9343204657922598,0.9371667620530523
k-Nearest Neighbors,0.8975198990487284,0.8217542658220625,0.9563681932102984,0.04363180678970154,0.7205128205128205,0.2794871794871795,0.8932568087359666,0.9351744470656378,0.969789316441041,0.9349029256193848,0.7858346019025987,0.7221846347821973,0.06558815768463848,0.9139807009209772,0.0860192990790228,0.9890566105790907,0.010943389420909258,0.9219401219401219,0.9258912160279338,0.9385384176699079,0.9219401219401219,0.8858905469110944,0.8547847155459557,0.9351744470656378
SVM (RBF Kernel),0.8804058974286227,0.8982293551829975,0.8690476190476191,0.13095238095238096,0.9302513117923227,0.06974868820767743,0.9559393228525358,0.9269356686291773,0.9837908543940249,0.924987821628454,0.8767012275518682,0.11019085104581562,0.029371719355136706,0.9848237182107357,0.015176281789264409,0.9701244074362446,0.02987559256375527,0.9630155407933185,0.9624943521494044,0.9626293034780145,0.9630155407933185,0.9378145023496138,0.9501878596142838,0.9269356686291773
Gaussian Process Classifier,0.8402639072123664,0.8507440303475199,0.8340738209159261,0.1659261790840738,0.871684322903835,0.12831567709616495,0.18847812896597085,0.9023794860391107,0.5010101102856775,0.8994282868538269,0.818607767412288,0.6931471741572782,0.24999999679866636,0.970685151162295,0.029314848837704965,0.9620236710502197,0.03797632894978028,0.9449530338419226,0.9445096914922351,0.9450594991274976,0.9449530338419226,0.9084904246777659,0.9168539969770274,0.9023794860391107
Gaussian Naive Bayes,0.8325271572669749,0.7785280361270899,0.8732627022100706,0.1267372977899294,0.703335473961678,0.29666452603832194,0.7183397869945326,0.8936400952034864,0.9323799150351211,0.893280753158647,0.7273644590301362,2.9371220594292704,0.09346386858655416,0.9140174881969024,0.08598251180309761,0.9689312156885249,0.031068784311475157,0.9063507952396841,0.9101276115362534,0.9189897063814079,0.9063507952396841,0.8595656974784381,0.8361333448251015,0.8936400952034864
SVM (Polynomial Kernel),0.8234477013253677,0.870771688957273,0.7947140578719526,0.20528594212804738,0.9634348290598291,0.03656517094017094,0.9488302391950163,0.8938154790609785,0.9773397737506061,0.8882630305120415,0.8501249196536009,0.12643937152052623,0.030590981583510785,0.9929169002500041,0.007083099749995843,0.9542917373988934,0.045708262601106685,0.9556283556283557,0.9539392624616196,0.9560067683296541,0.9556283556283557,0.9219927493632293,0.9588632832293612,0.8938154790609785
Random Forest Classifier,0.7148520996719889,0.7985256957384145,0.6683185235816814,0.3316814764183185,0.993939393939394,0.006060606060606062,0.9449326103800496,0.8336557371181318,0.975494442991733,0.8167910063818301,0.7843350097205476,0.20303440670051046,0.053829411229411234,0.998992950654582,0.001007049345417917,0.9285486793587491,0.07145132064125086,0.9367185367185367,0.931586171382083,0.9408727650833404,0.9367185367185367,0.8804938560519419,0.9612440366490715,0.8336557371181318
Decision Tree Classifier,0.6701570769491892,0.6798721918505021,0.6638755980861243,0.3361244019138756,0.6968988002086594,0.30310119979134065,0.5264716136567714,0.7985349665012059,0.7985349665012059,0.7868801622461117,0.6083283886985575,4.2350317850534855,0.11749729527507306,0.9331943349162873,0.06680566508371259,0.9229640354640355,0.07703596453596455,0.882502704724927,0.8813347568167188,0.8804187489015346,0.882502704724927,0.8039578505524495,0.8099314178363475,0.7985349665012059
