Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
k-Nearest Neighbors,0.9062178438899067,0.8411652947227098,0.9561268472906403,0.0438731527093596,0.7525144715143677,0.24748552848563232,0.8911196406847797,0.9411215471701038,0.9711705064683434,0.9407782419636386,0.8087710784033993,0.7123656339510149,0.062143131214655006,0.9261162470495673,0.07388375295043276,0.9893230743213599,0.010676925678640106,0.9318070662388344,0.9348549422745922,0.944755711690938,0.9318070662388344,0.8988592044363954,0.8709187729178638,0.9411215471701038
Logistic Regression,0.8967073723242569,0.9003904453577973,0.8948583743842364,0.10514162561576354,0.9090349002849003,0.09096509971509971,0.9632798437909775,0.9367953358939278,0.9874880032692152,0.935273121565579,0.878864131048568,0.1324387026057353,0.028884188464726776,0.9787322974036192,0.02126770259638079,0.9760020600296717,0.023997939970328272,0.9630145649232157,0.96282662432814,0.9633749462888577,0.9630145649232157,0.9388338057009453,0.942518480157286,0.9367953358939278
SVM (RBF Kernel),0.8963758551152489,0.9062817786501998,0.8903940886699507,0.10960591133004927,0.9255605692097628,0.07443943079023724,0.9675022844749788,0.9365916155387519,0.988879022487885,0.9351147572984799,0.8863912288591118,0.10336343703772068,0.02756928841269087,0.9827891424075532,0.01721085759244688,0.9750568125238781,0.024943187476121856,0.9654870451433739,0.9652189864394314,0.9657288498956204,0.9654870451433739,0.9425590682178413,0.9503086908668205,0.9365916155387519
Neural Network,0.8947012567457286,0.9020584515148062,0.8905480295566502,0.10945197044334977,0.9175799663299663,0.08242003367003366,0.9579862384017772,0.9356605214659726,0.9852458681829985,0.9340230165992484,0.8814051930590009,0.17664988803201243,0.03143647701628555,0.9807730133752951,0.019226986624704942,0.9750984789729121,0.02490152102708787,0.9638585043637532,0.9636003496167536,0.9642765448859,0.9638585043637532,0.9399432733614933,0.9463392226514393,0.9356605214659726
Deep Neural Network,0.890712277829278,0.8922358035805139,0.8905480295566501,0.10945197044334976,0.8983250225377507,0.10167497746224928,0.9615981023474582,0.9331198710594686,0.9866986777313547,0.9315433856693477,0.869138555820833,0.23017456478235968,0.034473520555615235,0.975691712562287,0.024308287437713072,0.9749911666223148,0.025008833377685266,0.9597249488560383,0.9596116197894217,0.9605372667400948,0.9597249488560383,0.9337253972228305,0.9366580945800327,0.9331198710594686
Gaussian Naive Bayes,0.8438893131226832,0.7844409654981184,0.8903940886699507,0.10960591133004927,0.7052835661291543,0.2947164338708456,0.7292770316022819,0.900649607933192,0.9395730393187551,0.899907419793207,0.736784060991104,2.859830320550188,0.09204837924190987,0.9109051271964332,0.08909487280356676,0.9732840224939846,0.02671597750601537,0.9071735671147744,0.9113416992538983,0.9227768989075199,0.9071735671147744,0.8625904472183301,0.8392837943115694,0.900649607933192
Gaussian Process Classifier,0.8387162778230504,0.8410251428223912,0.8380541871921182,0.16194581280788178,0.8484217216788432,0.1515782783211569,0.1894212559544557,0.9008163671339557,0.5040404537109887,0.8982988159246225,0.80575753674146,0.6931471394749829,0.2499999794575187,0.9635785470757934,0.03642145292420665,0.9627230557101355,0.037276944289864514,0.9400417139378117,0.9400639965872558,0.9411351945630986,0.9400417139378117,0.9020198162312931,0.9055723886944893,0.9008163671339557
SVM (Polynomial Kernel),0.8252810007851773,0.8694364767864555,0.7987992610837438,0.20120073891625614,0.9582604895104896,0.04173951048951047,0.955176994351582,0.8953509811844107,0.9801996814759981,0.8891435342376446,0.8493773406777629,0.12106054326592489,0.029572006050944802,0.9919027012850773,0.008097298714922638,0.9554440846866701,0.04455591531332995,0.9556294451962265,0.9537694534000944,0.9560004074794133,0.9556294451962265,0.9213475649931082,0.9568522870985798,0.8953509811844107
Decision Tree Classifier,0.7488821770847625,0.7606706506462525,0.7418411330049262,0.2581588669950739,0.7842912897313621,0.21570871026863797,0.6327262361992374,0.847153191731941,0.8471531917319413,0.8393457189294946,0.7092345132746635,3.1385016710608244,0.08707501532040723,0.9524652504589561,0.04753474954104381,0.9412770339961616,0.058722966003838334,0.9129249846795928,0.9117990846264927,0.9117820872696227,0.9129249846795928,0.8537057380027725,0.8627841618637618,0.847153191731941
Random Forest Classifier,0.7161547725203631,0.796092492558838,0.6719519704433496,0.32804802955665024,0.9873737373737375,0.012626262626262624,0.9472409111109099,0.8349638228823095,0.9783446090087191,0.8169939100718677,0.78246416883173,0.1927179774781947,0.05086717031081632,0.9979756753212694,0.002024324678730663,0.9296740536588469,0.07032594634115306,0.9367200617030825,0.9312630783550497,0.9405285123893348,0.9367200617030825,0.8793068973865308,0.9585238955162921,0.8349638228823095
