Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
All KNN,0.9052207404180559,0.849567477903695,0.9477124183006537,0.052287581699346414,0.7729185383647627,0.22708146163523735,0.9419958377969917,0.9404403267870761,0.9845414292163519,0.9399423950059191,0.8179323563034078,0.21772675282785375,0.04883975463298199,0.9331682352734985,0.06683176472650157,0.9873181165051326,0.012681883494867404,0.935948934688233,0.9385445420401227,0.9468451709899721,0.935948934688233,0.9044034003181974,0.8801183274349478,0.9404403267870761
Neighbourhood Cleaning Rule,0.9025051978099653,0.8828502036260562,0.9172951231774762,0.08270487682252388,0.8559411126630807,0.1440588873369194,0.9486347548568931,0.9399282107641239,0.9852063405004581,0.9390137195750679,0.8572343002532103,0.1288838755712399,0.03294432571212283,0.962561298350772,0.03743870164922798,0.9806899923917837,0.019310007608216242,0.9540051887810441,0.9546613425501922,0.9571902903859677,0.9540051887810441,0.9271006373948149,0.9183155525274322,0.9399282107641239
Edited Nearest Neighbours,0.8964756446389863,0.8525626381813673,0.9303670186023127,0.06963298139768728,0.7929712831028622,0.2070287168971379,0.9338649018483853,0.9353369523493362,0.983661551153811,0.9345205100652769,0.8213143977552838,0.20972601178805206,0.044257292779300766,0.9403068860963597,0.059693113903640224,0.9834138217005282,0.016586178299471756,0.938430509513846,0.9405186083076743,0.9474516110317348,0.938430509513846,0.9067804040466236,0.8881925524016953,0.9353369523493362
Repeated Edited Nearest Neighbours,0.8953997240091159,0.8284613599892539,0.9477124183006537,0.052287581699346414,0.7390615039521862,0.2609384960478139,0.9363238948699611,0.9338874936552954,0.9840351381218255,0.9332741837345311,0.7934258938070872,0.24504049060341082,0.0558826737402747,0.9200625690099373,0.07993743099006259,0.9871706262469296,0.012829373753070285,0.925284053806974,0.9288584243875295,0.9404331483312748,0.925284053806974,0.8903088895466061,0.863116065099558,0.9338874936552954
Random Under Sampler,0.8929209391511925,0.8387657478750596,0.9343891402714932,0.0656108597285068,0.7645022861314008,0.23549771386859936,0.94860822099635,0.9327864344118212,0.9845555201592353,0.9322447947743048,0.804442736223751,0.16719058089263772,0.047612306454819606,0.9311837285521496,0.0688162714478504,0.984077241735423,0.015922758264577112,0.9317518758619797,0.934518685437231,0.9428559558936607,0.9317518758619797,0.8977140099767904,0.8742897639334118,0.9327864344118212
Cluster Centroids,0.8925083581469637,0.8486358381865858,0.9258421317244847,0.07415786827551535,0.788712881321577,0.21128711867842306,0.9462302430000269,0.9330478688837822,0.9832658729872354,0.9320955932566904,0.8163273596052308,0.20658703215899085,0.06195183208627746,0.9402536060430796,0.05974639395692029,0.9823125998118732,0.017687400188126774,0.9375331708713207,0.9394867999211728,0.9458134301204167,0.9375331708713207,0.9046105442701994,0.8855127405667252,0.9330478688837822
Condensed Nearest Neighbour,0.8890822866818299,0.8691011442738046,0.9037204625439921,0.09627953745600805,0.840335803687197,0.15966419631280312,0.9458749616281733,0.9310901241860994,0.9833110565618305,0.9301914976510839,0.8391781558433262,0.13500660493048677,0.0379064371041923,0.9584597858282069,0.04154021417179311,0.9773776531671268,0.022622346832873137,0.9482332487678728,0.9490901099494535,0.951423355303882,0.9482332487678728,0.91839822791463,0.9088567284271618,0.9310901241860994
Baseline,0.8774012913360837,0.8852847955826584,0.8733031674208145,0.12669683257918554,0.9035733186661979,0.09642668133380208,0.9524142708467831,0.9255174546815413,0.9854900580442377,0.9229621843317888,0.8619987199113205,0.11441316498840924,0.03034026934612831,0.9777317419422682,0.022268258057731746,0.971260364997489,0.02873963500251103,0.9580799842910165,0.9575886056835292,0.9585565323399549,0.9580799842910165,0.9298061407102677,0.9374168418318435,0.9255174546815413
One Sided Selection,0.873495193930739,0.8825710224704031,0.8685268979386627,0.13147310206133736,0.9028261823778614,0.09717381762213867,0.9527747672124366,0.9231159999271453,0.9857615483931274,0.9203783672918898,0.858717460697765,0.11071821915113193,0.030441762641593574,0.9777051019156282,0.02229489808437177,0.9702547700320979,0.029745229967902024,0.957235255923982,0.9566798196627357,0.9575389009412751,0.957235255923982,0.9281974335529551,0.9365404762049796,0.9231159999271453
Tomek Links,0.873495193930739,0.8825710224704031,0.8685268979386627,0.13147310206133736,0.9028261823778614,0.09717381762213867,0.9527747672124366,0.9231159999271453,0.9857615483931274,0.9203783672918898,0.858717460697765,0.11499270197951843,0.030452176318549982,0.9777051019156282,0.02229489808437177,0.9702547700320979,0.029745229967902024,0.957235255923982,0.9566798196627357,0.9575389009412751,0.957235255923982,0.9281974335529551,0.9365404762049796,0.9231159999271453
