Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Neighbourhood Cleaning Rule,0.9034001635477295,0.8920002023202291,0.9122536945812808,0.08774630541871921,0.8775072728386868,0.12249272716131317,0.9498288533242754,0.9404280864723871,0.9856410557962842,0.9395827830109234,0.8682624066710734,0.134223493129844,0.03270802469241037,0.9686024783634933,0.03139752163650668,0.979737160864592,0.02026283913540798,0.9580909619279337,0.9585371899789058,0.9603949692754212,0.9580909619279337,0.9329851030914409,0.9286222168516394,0.9404280864723871
Edited Nearest Neighbours,0.9029970027958882,0.8608960471711649,0.9339593596059114,0.06604064039408866,0.8000723439142556,0.1999276560857443,0.9376606499728546,0.9396471988168555,0.9827742348092279,0.9392954188254985,0.8302872970945201,0.19831386713936033,0.0432708563929985,0.9453350380277996,0.05466496197220036,0.9843640756008163,0.01563592439918382,0.9432881167745361,0.9449209443226614,0.9496703032543827,0.9432881167745361,0.9126262794943522,0.892218209757536,0.9396471988168555
All KNN,0.8983950731979646,0.8458175094779604,0.9384236453201971,0.06157635467980295,0.7733419983542751,0.22665800164572492,0.9361284744499216,0.9363022042493983,0.9821771133302069,0.9358827388151032,0.8131034468608752,0.2242045989683708,0.048575953363524646,0.9341807631785994,0.06581923682140048,0.9852559147751162,0.01474408522488374,0.9350698787124936,0.9375870216017129,0.9453590899715612,0.9350698787124936,0.9023206120121015,0.8792989565646957,0.9363022042493983
Random Under Sampler,0.8955333665577146,0.8439764664129483,0.9341133004926109,0.06588669950738914,0.7713595400127908,0.22864045998720922,0.9321781317173816,0.9346592597401422,0.9808610156432687,0.9342923245622743,0.8102114137150682,0.1934478701944249,0.05039028596201855,0.9352052189876737,0.06479478101232626,0.9842048545609992,0.015795145439000763,0.9350697363295266,0.9373426781475067,0.9441081955741503,0.9350697363295266,0.90147684006327,0.877782197286895,0.9346592597401422
Repeated Edited Nearest Neighbours,0.890480923642839,0.8235338893428472,0.9427339901477833,0.057266009852216734,0.7342618882679095,0.2657381117320905,0.9357922641644257,0.9308723058528059,0.9828149405262525,0.9303260321879976,0.7874549579397563,0.2684835204862458,0.057512420356196234,0.9190106215578284,0.08098937844217154,0.9861447850659852,0.013855214934014842,0.9235726321143074,0.9271844232238831,0.9387433737199968,0.9235726321143074,0.8873478756234868,0.8602033366669473,0.9308723058528059
Baseline,0.8836704286033038,0.8948275864417239,0.8771551724137931,0.1228448275862069,0.917764916477201,0.08223508352279903,0.9556104090866225,0.9289558972480715,0.9862616741533694,0.9269568486985416,0.8730986291852001,0.11165390107489019,0.030751321998060285,0.9807566220823498,0.019243377917650142,0.9721364298233525,0.027863570176647492,0.9613751318466273,0.9610155511777,0.9618394046782558,0.9613751318466273,0.9355741450025686,0.9449506731502767,0.9289558972480715
Cluster Centroids,0.8821839618992231,0.8306016916694061,0.9208743842364533,0.07912561576354678,0.7581508647685118,0.24184913523148815,0.94055504667813,0.9260154769333329,0.9820350520936283,0.9256681913858462,0.793336345759313,0.22696411131505423,0.06603112840383905,0.9311565696302124,0.06884343036978757,0.9809773966230764,0.019022603376923644,0.929318461147675,0.9318629628717747,0.9390138676061787,0.929318461147675,0.8929534751876579,0.8695641306957941,0.9260154769333329
One Sided Selection,0.8756971516232374,0.8876141772046907,0.8685344827586208,0.13146551724137934,0.9110224593727398,0.08897754062726011,0.9552253762445293,0.9241456179856571,0.9863645234607041,0.9219219314500025,0.8640824519900402,0.11335447011755986,0.031227077216943712,0.9797567532126934,0.020243246787306574,0.9701570463466356,0.029842953653364396,0.9589187764974701,0.958462830269742,0.9589909814835494,0.9589187764974701,0.9312311230505426,0.9405897528596877,0.9241456179856571
Tomek Links,0.8756971516232374,0.8876141772046907,0.8685344827586208,0.13146551724137934,0.9110224593727398,0.08897754062726011,0.9552253762445293,0.9241456179856571,0.9863645234607041,0.9219219314500025,0.8640824519900402,0.11338204315774994,0.031210348017952277,0.9797567532126934,0.020243246787306574,0.9701570463466356,0.029842953653364396,0.9589187764974701,0.958462830269742,0.9589909814835494,0.9589187764974701,0.9312311230505426,0.9405897528596877,0.9241456179856571
Condensed Nearest Neighbour,0.8692349419953691,0.8524900926750919,0.8817733990147782,0.11822660098522167,0.829599062723112,0.1704009372768881,0.9431799774595138,0.9191231602994165,0.9807744869767545,0.917793448337618,0.8192785314949725,0.14400408858890573,0.04033161516600567,0.9564729215840546,0.04352707841594544,0.9724471383299202,0.027552861670079823,0.9424818732244844,0.9432240629246142,0.9455344210164607,0.9424818732244844,0.9083637363235356,0.9010231005265161,0.9191231602994165
